	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0004	imp	W	4	6/24/17	FJ	Castle IslandRd	Kennebec	44.5108	-69.905							7/5/17	8/3/17	69.0		69.0		2017_1	4.0	2017	1761.4853440218783	Belgrade_Lakes	Belgrade_Lakes	1.0	54	2.080546621242628	-0.12245509833137494	-0.09392003567304921	Castle IslandRd6/24/17	0.9810395879469507	4.976486103162557e-05	0.0066933738087536394	0.0	0.002562890343128717	0.009231381721366543	0.0	0.0066933738087536394	0.03376545820995795	0.9449600636990221	0.9972131677822289	0.9877827266167359	6/24/23	June	Belgrade_Lakes2017	0
B0005	imp	W	5	6/24/17	FJ	Castle IslandRd	Kennebec	44.5108	-69.905							7/5/17	8/3/17	70.0		70.0		2017_1	5.0	2017	24.17122365877633	Belgrade_Lakes	Belgrade_Lakes	1.0	54	2.286315718639483	-0.12172120436830211	-0.10369921318391381	Castle IslandRd6/24/17	0.9579442634817228	0.0	0.0006514657980456026	0.0	0.0	0.012088309808179515	0.016141874773796597	0.0	0.12247557003257328	0.8311255881288454	0.9818313427433948	0.9585957292797684	6/24/23	June	Belgrade_Lakes2017	0
B0008	vag	W	8	6/7/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113							7/7/17	8/3/17	85.0		85.0		2017_1	8.0	2017	7309.095850437541	Allen_Island	Allen_Island	1.0	37	3.227165656760451	0.49396918479587426	-0.14469538402188395	Allen Island Garden6/7/17	0.00258349086326402	0.9827347195967234	0.0058601134215500944	0.0	0.0	0.0	0.0	0.003843730308758664	0.0024574669187145556	0.0	0.00630119722747322	0.9911783238815376	6/7/23	June	Allen_Island2017	1
B0009	bor	W	9	7/12/17	FJ & JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	17.0		17.0		2017_1	9.0	2017	0.0	Allen_Island	Allen_Island	0.0	72	2.432989176495678	-0.035723777903645976	0.053365521436579404	Allen Island Garden7/12/17	0.39775709109084095	0.0	0.44570785955266773	0.006153942271648132	0.0	0.08809196551293265	0.057447207297263526	0.4454891915531676	0.3938835436711233	0.0003123828564288392	0.991378233162564	0.8434649506435087	7/12/23	July	Allen_Island2017	2
B0010	bor	W	10	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	85.0		85.0		2017_1	10.0	2017	0.0	Allen_Island	Allen_Island	0.0	72	1.586549882573604	-0.03446318919139857	0.10667536035102951	Allen Island Garden7/12/17	0.3501814727303729	0.0	0.6457993325700924	7.307626726426815e-05	0.0008769152071712177	0.00019487004603804838	0.0	0.6456531800355638	0.3500353201958444	0.0	0.9968333617518818	0.9959808053004653	7/12/23	July	Allen_Island2017	2
B0011	bor	W	11	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	79.0		79.0		2017_1	11.0	2017	0.0	Allen_Island	Allen_Island	0.0	72	2.683383883551762	-0.009997095705562809	0.15012976388037225	Allen Island Garden7/12/17	0.23037461740742338	0.0	0.6796137431564426	0.07104366944001379	0.0	0.012286071474759666	0.0025434323403888434	0.6793550890201319	0.22998663620295728	0.0	0.9952148984782515	0.909988360563866	7/12/23	July	Allen_Island2017	2
B0013	vag	W	13	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	37.0		37.0		2017_1	13.0	2017	2290.79323073902	Allen_Island	Allen_Island	1.0	72	4.130961902884497	-0.09012567626194688	-0.03051192426988802	Allen Island Garden7/12/17	0.8006314839873703	0.0	0.19216522464154398	0.006752231380106888	0.0	0.0	0.0	0.19204220828036794	0.7978977870723473	0.0001913587840516122	0.9968835855168738	0.9927967086289142	7/12/23	July	Allen_Island2017	2
B0014	vag	W	14	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	13.0		26.1	1.67	2017_1	14.0	2017	1454.7597866855408	Allen_Island	Allen_Island	1.0	72	3.443390369817427	0.024851171931380752	0.19939466233965714	Allen Island Garden7/12/17	0.06930361183273276	0.00016760244699572614	0.9159194390904773	0.0	0.007206905220816224	0.0	0.0	0.9144948182910138	0.008352188608620352	0.0	0.9300539121204503	0.9853906533702058	7/12/23	July	Allen_Island2017	2
B0015	bim	W	15	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	21.0		43.4	1.82	2017_1	15.0	2017	4.973676640002724	Allen_Island	Allen_Island	0.0	72	1.666627747911344	-0.03422356959141867	0.11494624516418529	Allen Island Garden7/12/17	0.3297695743251255	0.0	0.6680170744239358	0.0006916722659183432	0.001284534208134066	0.0	0.0	0.6677996917117901	0.3292952847713529	0.00025690684162681316	0.9993280897988222	0.9977866487490612	7/12/23	July	Allen_Island2017	2
B0016	san	W	16	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	44.0		44.0		2017_1	16.0	2017	30980.84464093758	Allen_Island	Allen_Island	1.0	72	9.235140748074627	0.16491833656996363	-0.011376948823743559	Allen Island Garden7/12/17	0.23913408289981541	0.05386809867427421	0.14348044973988924	0.01342507132069139	0.0	0.0010068803490518544	0.0005034401745259272	0.027017956032891425	0.015942272193321026	0.0	0.05789562007048163	0.4364826313139789	7/12/23	July	Allen_Island2017	2
