id,species,caste,ID_number,date_of_collection,investigator,collection_site,Region,Latitude,Longitude,Forage_Plant,Temperature ,Wind,r.H.,H.I.,Time_of_Day,date_of_dissection,date_of_DNA_extraction,Concentration,Purity,QPCR_Concentration,QPCR_Purity,DNA_Storage,QPCR_Order,Year,CBombiConc,site_collapsed,site_collapsed_10k,Positive,clade,days_Since_May1,faithpd,PC1,PC2,Gammaproteobacteria,Alphaproteobacteria,Firmicutes,Bifidobacterium,Bombiscardovia,Apibacter,Lactobacillus,Snodgrassella,Schmidhempelia,Gilliamella,core,Proteobacteria,site_trip,Month,site_year,date_no_year,batch_conc
B0004,imp,W,4,6/24/17,FJ,Castle IslandRd,Kennebec,44.5108,-69.905,,,,,,,7/5/17,8/3/17,69.0,,69.0,,2017_1,4.0,2017,1761.4853440218783,Belgrade_Lakes,Belgrade_Lakes,1.0,short,54,1.5005899893333048,-0.1155509758200439,0.0033841245662273,0.9877329617557042,4.976486103162557e-05,0.0092313817213665,0.0,0.0025628903431287,0.0,0.0092313817213665,0.0066933738087536,0.944960063699022,0.0337654582099579,0.9972131677822288,0.9877827266167358,Belgrade_Lakes6/24/17,June,Belgrade_Lakes2017,6/24/23,675917.6454906061
B0005,imp,W,5,6/24/17,FJ,Castle IslandRd,Kennebec,44.5108,-69.905,,,,,,,7/5/17,8/3/17,70.0,,70.0,,2017_1,5.0,2017,24.171223658776327,Belgrade_Lakes,Belgrade_Lakes,1.0,short,54,1.6151181096739426,-0.1159601442220216,0.003742219840745,0.9585957292797684,0.0,0.0247557003257328,0.0,0.0,0.0161418747737965,0.0186753528773072,0.0,0.8311255881288454,0.1224755700325732,0.9884183858125224,0.9585957292797684,Belgrade_Lakes6/24/17,June,Belgrade_Lakes2017,6/24/23,12185892.34492927
B0008,vag,W,8,6/7/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,,,,,,,7/7/17,8/3/17,85.0,,85.0,,2017_1,8.0,2017,7309.095850437541,Allen_Island,Allen_Island,1.0,short,37,1.8403343789666813,0.2498493249930203,-0.3353197277211862,0.0084510595358224,0.9836024217961656,0.0001261352169525,0.0,0.0,0.0,0.0,0.0038471241170534,0.0,0.0024596367305751,0.0063067608476286,0.992053481331988,Allen_Island6/7/17,June,Allen_Island2017,6/7/23,12185892.34492927
B0009,bor,W,9,7/12/17,FJ & JG,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,17.0,,17.0,,2017_1,9.0,2017,0.0,Allen_Island,Allen_Island,0.0,long,72,4.659146675595581,-0.0734470105045999,0.0008942715068649,0.8434649506435087,0.0,0.0928714232162939,0.0052480319880044,0.0,0.0574472072972635,0.0928714232162939,0.4454891915531676,0.0003123828564288,0.3032612770211171,0.9046295139322756,0.8434649506435087,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,52.83141686835734
B0010,bor,W,10,7/12/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,85.0,,85.0,,2017_1,10.0,2017,0.0,Allen_Island,Allen_Island,0.0,long,72,0.6137480172429539,-0.0597120946924052,-0.0011883725204002,0.9959808053004652,0.0,0.0030692032250992,7.307626726426815e-05,0.0008769152071712,0.0,0.0030692032250992,0.6456531800355638,0.0,0.2001071785253209,0.8497795532604195,0.9959808053004652,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,52.83141686835734
B0011,bor,W,11,7/12/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,79.0,,79.0,,2017_1,11.0,2017,0.0,Allen_Island,Allen_Island,0.0,long,72,1.7718746155642076,-0.0584737300824663,0.001155945326854,0.909988360563866,0.0,0.0159072293831098,0.0696641807130232,0.0,0.0025434323403888,0.0154761391559253,0.6793550890201319,0.0,0.2299866362029572,0.9970254774324266,0.909988360563866,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,52.83141686835734
B0013,vag,W,13,7/12/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,37.0,,37.0,,2017_1,13.0,2017,2290.79323073902,Allen_Island,Allen_Island,1.0,short,72,1.396944189657619,-0.1057967784743321,0.0007205071828962,0.9928374203778124,0.0,8.201427048306405e-05,0.0067525082697722,0.0,0.0,0.0,0.192050083381175,0.0001913666311271,0.7979305065748107,0.9969244648568852,0.9928374203778124,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,3010831.549766519
B0014,vag,W,14,7/12/17,JG,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,13.0,,26.1,1.67,2017_1,14.0,2017,1454.7597866855408,Allen_Island,Allen_Island,1.0,short,72,2.9583327795332663,-0.0043092034307292,-8.689845965755984e-05,0.9852230509232102,0.0001676024469957,0.0008659459761445,0.0,0.0072069052208162,0.0,0.0,0.9144948182910138,0.0,0.0083521886086203,0.9300539121204504,0.985390653370206,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,3010831.549766519
B0015,bim,W,15,7/12/17,JG,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,21.0,,43.4,1.82,2017_1,15.0,2017,4.973676640002723,Allen_Island,Allen_Island,0.0,short,72,1.0139305812638897,-0.062280065300292,-0.0006239682313381,0.9977866487490612,0.0,3.952412948104818e-05,0.0006916722659183,0.001284534208134,0.0,0.0,0.6677996917117901,0.0002569068416268,0.3292952847713529,0.9993280897988222,0.9977866487490612,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,3010831.549766519
B0016,san,W,16,7/12/17,JG,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,44.0,,44.0,,2017_1,16.0,2017,30980.844640937583,Allen_Island,Allen_Island,1.0,short,72,6.777719576199766,0.0567368337630075,0.012442416006756,0.3839676658807679,0.0540586055911081,0.4211855843718424,0.0097675985180195,0.0,0.000505220613001,0.001010441226002,0.0271135062310542,0.0,0.0133041428090266,0.0517009093971034,0.438026271471876,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,3010831.549766519
B0017,san,W,17,7/12/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,54.0,,54.0,,2017_1,17.0,2017,5.2261853882896485,Allen_Island,Allen_Island,0.0,short,72,2.543606239213489,0.085485846169223,0.0567423885548988,0.3728480078701426,0.0193474340055746,0.0034431874077717,0.0,0.5956714215445155,0.0,0.0,0.0040990326282997,0.0009837678307919,0.0011477291359239,0.601901951139531,0.3921954418757173,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,2152502.813406286
B0018,vag,W,18,7/12/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,26.0,,26.0,,2017_1,18.0,2017,5.8509690667068295,Allen_Island,Allen_Island,0.0,short,72,1.8655192354674288,0.2431691771269102,-0.3208966402856251,0.0199309810550038,0.9228466793436158,0.0555672934713712,0.0,0.00070427494894,0.0,0.0,0.0,0.000176068737235,0.0,0.000880343686175,0.9427776603986197,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,2152502.813406286
B0019,vag,W,19,7/12/17,FJ,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-14-7,7/17/17,30.0,,30.0,,2017_1,19.0,2017,4.56694334547264,Allen_Island,Allen_Island,0.0,short,72,1.2837296932510829,-0.0176229865461816,-0.0004753999973649,0.9860957462961758,0.0,0.0001084575171905,0.0,0.0132752001041192,0.0,0.0,0.9852280861586517,0.0,0.0,0.9985032862627709,0.9860957462961758,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,2152502.813406286
B0021,fer,W,21,7/12/17,JG,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-18-7,8/3/17,47.0,,47.0,,2017_1,21.0,2017,2.3358171557413647,Allen_Island,Allen_Island,0.0,long,72,1.1352052629442977,-0.0875026006196666,0.0002217654354068,0.9382047812359045,0.0,0.0114343707713125,0.0,0.0,0.0502931889941362,0.0114343707713125,0.4140279657194406,0.0,0.5241768155164637,0.9999323410013532,0.9382047812359045,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,1384530.786788212
B0022,fer,W,22,7/12/17,JG,Allen Island Garden,Allen Island,43.8755,-69.3113,jasmine,,,,,11:00,2017-18-7,8/3/17,85.0,,85.0,,2017_1,22.0,2017,2.6425124204764048,Allen_Island,Allen_Island,0.0,long,72,0.8501959124609084,-0.0647391818182184,-0.0013897050441355,0.9989633852874756,0.0,0.0010366147125245,0.0,0.0,0.0,0.0010366147125245,0.6109362852171337,0.0,0.2739254377846062,0.8858983377142644,0.9989633852874756,Allen_Island7/12/17,July,Allen_Island2017,7/12/23,1384530.786788212
B0025,vag,W,25,7/12/17,JG,Owls neck,Knox,44.0912,-69.0495,,,,,,,2017-18-7,8/3/17,52.0,,52.0,,2017_1,25.0,2017,4.055338687177784,Owls_Head_ME,Owls_Head_ME,0.0,short,72,0.9114281363465842,-0.0162389930854242,-0.0010277777555067,0.9991860212719774,0.0001899283698719,0.0,0.0,0.0,0.0,0.0,0.9978836553071412,0.0002713262426741,0.0002170609941393,0.9983720425439548,0.9993759496418494,Owls_Head_ME7/12/17,July,Owls_Head_ME2017,7/12/23,12737708.29228687
