Well,Sample Name,Task,Reporter,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Ct Threshold
A1,,STANDARD,SYBR,13.3866539,13.3866539,,10000000,,,0.047962304
A2,,STANDARD,SYBR,Undetermined,13.3866539,,10000000,,,0.047962304
A3,,STANDARD,SYBR,23.80096436,22.64393234,1.636289001,10000,,,0.047962304
A4,,STANDARD,SYBR,21.48690224,22.64393234,1.636289001,10000,,,0.047962304
A5,,STANDARD,SYBR,26.41296768,25.67204666,1.047819257,1000,,,0.047962304
A6,,STANDARD,SYBR,24.93112755,25.67204666,1.047819257,1000,,,0.047962304
A7,,NTC,SYBR,28.97310829,,,,,,0.047962304
A8,,NTC,SYBR,28.53437424,,,,,,0.047962304
A9,Sample 1,UNKNOWN,SYBR,14.24673843,14.24673843,,5301327.5,5301327.5,,0.047962304
A10,Sample 1,UNKNOWN,SYBR,Undetermined,14.24673843,,,,,0.047962304
A11,Sample 2,UNKNOWN,SYBR,15.27983475,14.64457893,0.898388088,2444492.75,4389012,2749965.75,0.047962304
A12,Sample 2,UNKNOWN,SYBR,14.00932217,14.64457893,0.898388088,6333531.5,4389012,2749965.75,0.047962304
B1,Sample 3,UNKNOWN,SYBR,12.92730236,12.22600937,0.991778076,14248291,27502542,18744340,0.047962304
B2,Sample 3,UNKNOWN,SYBR,11.52471638,12.22600937,0.991778076,40756792,27502542,18744340,0.047962304
B3,Sample 4,UNKNOWN,SYBR,29.59918404,29.86307526,0.373197198,53.49429321,44.75758362,12.35557556,0.047962304
B4,Sample 4,UNKNOWN,SYBR,30.12696457,29.86307526,0.373197198,36.02087021,44.75758362,12.35557556,0.047962304
B5,Sample 5,UNKNOWN,SYBR,18.23866463,17.43257904,1.139975786,266262.5625,578706.5,441862.5,0.047962304
B6,Sample 5,UNKNOWN,SYBR,16.62649536,17.43257904,1.139975786,891150.5,578706.5,441862.5,0.047962304
B7,Sample 6,UNKNOWN,SYBR,18.58912277,17.8882103,0.991241276,204768,395083.6875,269147.0313,0.047962304
B8,Sample 6,UNKNOWN,SYBR,17.18729591,17.8882103,0.991241276,585399.375,395083.6875,269147.0313,0.047962304
B9,Sample 7,UNKNOWN,SYBR,26.54908371,26.07651901,0.668306053,525.8814697,796.7995605,383.1360474,0.047962304
B10,Sample 7,UNKNOWN,SYBR,25.60395622,26.07651901,0.668306053,1067.717651,796.7995605,383.1360474,0.047962304
B11,Sample 8,UNKNOWN,SYBR,18.62062073,18.62062073,,199991.6406,199991.6406,,0.047962304
B12,Sample 8,UNKNOWN,SYBR,Undetermined,18.62062073,,,,,0.047962304
C1,Sample 9,UNKNOWN,SYBR,15.86512089,15.47954178,0.54529053,1576600.75,2193202,872006,0.047962304
C2,Sample 9,UNKNOWN,SYBR,15.09396362,15.47954178,0.54529053,2809803.5,2193202,872006,0.047962304
C3,Sample 10,UNKNOWN,SYBR,13.82159328,13.51305389,0.436339915,7290171,9432980,3030388.75,0.047962304
C4,Sample 10,UNKNOWN,SYBR,13.20451546,13.51305389,0.436339915,11575788,9432980,3030388.75,0.047962304
