Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Call,End RFU
A01,SYBR,,Std,,14.92289275,10000000,82.5,410.6852715,,2489.634337
A02,SYBR,,Std,,13.17782716,10000000,83,394.3101788,,1857.000343
A03,SYBR,,Std,,24.42304288,10000,82.5,373.8828114,,2204.8464
A04,SYBR,,Std,,23.43641378,10000,82.5,359.2324811,,2044.880619
A05,SYBR,,Std,,27.68148099,1000,82.5,357.4943747,,2377.998335
A06,SYBR,,Std,,26.60520367,1000,82.5,321.3972104,,2009.838133
A07,SYBR,,Std,,29.2281451,100,82.5,293.5022386,,1939.035558
A08,SYBR,,Std,,28.60429279,100,82.5,314.0315263,,2226.878666
A09,SYBR,,NTC,,29.0026499,NaN,82.5,294.8116007,,1910.195179
A10,SYBR,,NTC,,28.93811854,NaN,82.5,313.8231326,,2152.733917
A11,SYBR,,Unkn-01,,28.73845929,195.3053304,82,317.5336256,,1804.366533
A12,SYBR,,Unkn-01,,29.45100506,114.2280632,82,307.0356564,,1701.46398
B01,SYBR,,Unkn-02,,30.00144876,75.47879942,82,282.4910745,,1511.838027
B02,SYBR,,Unkn-02,,29.78283396,88.98017459,82,292.0708502,,1192.110616
B03,SYBR,,Unkn-03,,30.30532402,60.0459701,82,261.3752404,,1393.59194
B04,SYBR,,Unkn-03,,29.37745631,120.7304833,82,299.6317444,,1428.953241
B05,SYBR,,Unkn-04,,27.88430532,371.4916929,73,213.3722537,,1478.414646
B06,SYBR,,Unkn-04,,28.14367119,305.6037914,72.5,202.3824833,,1480.502637
B07,SYBR,,Unkn-05,,30.80325865,41.27641728,82.5,261.8630366,,1717.311965
B08,SYBR,,Unkn-05,,30.72506635,43.77883141,82.5,271.964521,,1552.719407
B09,SYBR,,Unkn-06,,19.06076001,284767.7575,82.5,357.1142982,,1712.940749
B10,SYBR,,Unkn-06,,18.6246162,395432.5303,82.5,370.2260469,,1570.350958
B11,SYBR,,Unkn-07,,30.79845607,41.42590697,81.5,244.9706424,,1726.71203
B12,SYBR,,Unkn-07,,30.01846371,74.51823423,81.5,265.6847513,,1789.069688
C01,SYBR,,Unkn-08,,30.7138187,44.15106449,82,259.4380667,,1409.825724
C02,SYBR,,Unkn-08,,31.1858153,30.94844392,82,278.3067828,,1236.316557
C03,SYBR,,Unkn-09,,17.35938696,1024928.851,82,373.6140258,,2090.716245
C04,SYBR,,Unkn-09,,17.44234952,962879.8245,82,368.4122947,,1939.465183
C05,SYBR,,Unkn-10,,31.16897134,31.3433453,82.5,191.7006714,,1062.832585
C06,SYBR,,Unkn-10,,30.73433802,43.47435252,82.5,206.1437125,,1153.383018
C07,SYBR,,Unkn-11,,30.47798731,52.72757448,82,234.2994,,1502.301873
C08,SYBR,,Unkn-11,,30.75844313,42.69262143,82,246.5940437,,1491.27852
C09,SYBR,,Unkn-12,,29.59609596,102.4095708,81.5,196.4715025,,1493.311671
C10,SYBR,,Unkn-12,,29.93335589,79.4484639,81.5,188.821822,,1563.957393
C11,SYBR,,Unkn-13,,14.4464181,9182996.611,82,332.8401117,,1450.470897
C12,SYBR,,Unkn-13,,14.32053676,10095708.74,82,379.2757847,,1677.58199
