Well,Fluor,Target,Content,Replicate,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,,16.66558963,10000000,82,2515.091275,67.5,91.5
A02,SYBR,,Std,,,13.30039641,10000000,83,2218.656087,68.5,89
A03,SYBR,,Std,,,26.65302162,10000,82,2553.74201,75.5,88
A04,SYBR,,Std,,,24.13203614,10000,83,2469.254173,68,95
A05,SYBR,,Std,,,28.6111504,1000,82.5,2090.354845,76.5,93
A06,SYBR,,Std,,,26.10236593,1000,83,1303.300812,78,90.5
A07,SYBR,,NTC,,,32.02197228,NaN,82,2006.606707,78,87
A08,SYBR,,NTC,,,32.41073812,NaN,82.5,2222.301287,76,92
A09,SYBR,,Unkn-01,1,,19.75169759,359067.2991,83,2834.114204,74.5,89
A10,SYBR,,Unkn-01,1,,18.34704675,992767.9898,83.5,2187.11013,67.5,89
A11,SYBR,,Unkn-02,2,,16.02731941,5324172.311,82.5,2914.065961,67.5,91
A12,SYBR,,Unkn-02,2,,14.26674001,19047612.38,82.5,2071.408697,68.5,92
B01,SYBR,,Unkn-03,3,,31.78442591,59.10992628,None,None,None,None
B02,SYBR,,Unkn-03,3,,32.11426669,46.55290746,83,1575.902721,78.5,91
B03,SYBR,,Unkn-04,4,,18.88876153,670677.099,82.5,2767.60723,75.5,89.5
B04,SYBR,,Unkn-04,4,,16.0203809,5350986.017,83.5,2430.093224,67.5,94
B05,SYBR,,Unkn-05,5,,17.93775125,1335195.161,82.5,2889.248156,75,93
B06,SYBR,,Unkn-05,5,,16.83360073,2969810.463,83,2373.612846,76.5,92.5
B07,SYBR,,Unkn-06,6,,19.56366044,411435.1447,82.5,2948.558925,74.5,90.5
B08,SYBR,,Unkn-06,6,,17.15243808,2357626.435,82.5,2454.109766,67.5,90
B09,SYBR,,Unkn-07,7,,16.49077807,3806486.59,82.5,2924.786127,67.5,92
B10,SYBR,,Unkn-07,7,,14.08865279,21668930.01,83,2508.762658,67.5,91.5
B11,SYBR,,Unkn-08,8,,32.17162508,44.65923721,82,2164.472911,76,89
B12,SYBR,,Unkn-08,8,,34.24464187,9.955922103,82.5,2010.005407,67.5,91.5
C01,SYBR,,Unkn-09,9,,32.07425988,47.92105423,82,1629.719681,77.5,89.5
C02,SYBR,,Unkn-09,9,,31.63860502,65.69187605,82.5,1835.095236,67.5,90
C03,SYBR,,Unkn-10,10,,20.79054976,169248.1705,83,2595.144147,74,92.5
C04,SYBR,,Unkn-10,10,,15.55458801,7497139.241,83.5,2126.140105,67.5,94
C05,SYBR,,Unkn-11,11,,28.60582242,590.3720615,83,1983.428508,77.5,88.5
C06,SYBR,,Unkn-11,11,,27.16541518,1675.100191,83.5,2108.840014,67.5,92
C07,SYBR,,Unkn-12,12,,17.33019414,2072918.361,82.5,2883.724843,67.5,88
C08,SYBR,,Unkn-12,12,,17.17812992,2314176.969,82.5,2310.607544,67.5,94
C09,SYBR,,Unkn-13,13,,19.14418969,557439.6139,82.5,2657.57993,76.5,90.5
C10,SYBR,,Unkn-13,13,,18.40329227,953152.0458,83,2196.576482,77,90.5
C11,SYBR,,Unkn-14,14,,15.84817128,6061534.939,82,2718.567108,67.5,91
C12,SYBR,,Unkn-14,14,,15.41982378,8265520.681,82.5,2304.762021,67.5,93.5
D01,SYBR,,Unkn-15,15,,17.84406246,1428906.531,82,2492.425235,75.5,89
D02,SYBR,,Unkn-15,15,,17.65296195,1640939.549,82.5,1995.10649,77,89
D03,SYBR,,Unkn-16,16,,15.52200677,7676093.774,82.5,2674.540273,76.5,92
D04,SYBR,,Unkn-16,16,,9.55824796,575913165.2,83,2199.491672,77,93
D05,SYBR,,Unkn-17,17,,16.35329446,4204883.972,82.5,2868.053754,67.5,91.5
D06,SYBR,,Unkn-17,17,,13.17068578,42119069.44,83,2064.583156,67.5,93
D07,SYBR,,Unkn-18,18,,15.2635098,9255947.082,82.5,2921.551337,67.5,95
D08,SYBR,,Unkn-18,18,,14.73184378,13601771.28,83,2503.273937,75.5,94
D09,SYBR,,Unkn-19,19,,16.76514549,3120710.502,82.5,2931.68879,67.5,91.5
D10,SYBR,,Unkn-19,19,,16.43584391,3960933.484,82.5,2475.778498,67.5,90.5
D11,SYBR,,Unkn-20,20,,18.39213418,960883.3869,82.5,2880.408263,67.5,88.5
D12,SYBR,,Unkn-20,20,,17.63744881,1659474.037,83,2493.763652,67.5,92.5
E01,SYBR,,Unkn-21,21,,23.14147921,30853.79568,82.5,2494.354528,74,93.5
E02,SYBR,,Unkn-21,21,,20.88288153,158303.8975,83,1957.690347,67.5,92
E03,SYBR,,Unkn-22,22,,18.33482251,1001593.509,82,2499.130942,67.5,91
E04,SYBR,,Unkn-22,22,,18.05552952,1226058.224,82.5,2218.781173,67.5,90.5
E05,SYBR,,Unkn-23,23,,15.55228417,7509655.011,82,2720.494768,76.5,94
E06,SYBR,,Unkn-23,23,,15.23973439,9416655.702,82.5,2284.814829,76.5,94
E07,SYBR,,Unkn-24,24,,17.42066706,1941486.217,82,2712.987183,67.5,93
E08,SYBR,,Unkn-24,24,,17.25596803,2187366.274,82.5,2034.688042,67.5,90.5
E09,SYBR,,Unkn-25,25,,16.67611857,3328485.69,82.5,2779.528344,67.5,89
E10,SYBR,,Unkn-25,25,,15.70056798,6745191.924,82.5,2177.136638,67.5,91
E11,SYBR,,Unkn-26,26,,21.03602383,141689.6904,82,2892.360618,67.5,90
E12,SYBR,,Unkn-26,26,,20.56908129,198683.3632,82.5,2294.183336,67.5,90.5
F01,SYBR,,Unkn-27,27,,18.12085811,1169417.201,82.5,2300.987744,74,93.5
F02,SYBR,,Unkn-27,27,,17.68545908,1602781.543,82.5,1850.903484,67.5,93
F03,SYBR,,Unkn-28,28,,18.51522854,878952.6165,82,2323.003761,67.5,90
F04,SYBR,,Unkn-28,28,,17.47389433,1868089.91,82.5,2199.749775,67.5,89
F05,SYBR,,Unkn-29,29,,18.03935275,1240502.506,82,2760.063997,76.5,90
F06,SYBR,,Unkn-29,29,,16.61572721,3477249.682,82.5,2073.267645,67.5,91
F07,SYBR,,Unkn-30,30,,18.50211611,887336.7641,82,2772.417846,67.5,90
F08,SYBR,,Unkn-30,30,,16.28854138,4406712.069,82.5,2234.145285,67.5,95
F09,SYBR,,Unkn-31,31,,18.00915165,1267926.091,82,2757.732268,76.5,91
F10,SYBR,,Unkn-31,31,,16.776381,3095427.526,82.5,2253.261629,67.5,91
F11,SYBR,,Unkn-32,32,,16.6456842,3402642.625,82.5,2893.332565,67.5,90.5
F12,SYBR,,Unkn-32,32,,15.73481131,6580016.697,83,2414.53309,67.5,93.5
G01,SYBR,,Unkn-33,33,,23.96163714,17038.1303,82.5,2345.677924,75,90.5
G02,SYBR,,Unkn-33,33,,23.51495532,23543.68835,82.5,2010.593407,68,93.5
G03,SYBR,,Unkn-34,34,,17.09134946,2464242.333,82.5,2509.626982,74.5,94
G04,SYBR,,Unkn-34,34,,16.89089774,2849131.704,83,2150.631028,68.5,93
G05,SYBR,,Unkn-35,35,,22.99482352,34310.12807,82.5,2071.762434,76.5,89.5
G06,SYBR,,Unkn-35,35,,22.65688472,43820.99657,83,1942.513606,77,90.5
G07,SYBR,,Unkn-36,36,,19.62922579,392360.5371,82,1428.628396,67.5,90
G08,SYBR,,Unkn-36,36,,18.43482236,931639.7482,82,2206.00069,76.5,90.5
G09,SYBR,,Unkn-37,37,,19.35644028,478033.9416,82.5,2799.49716,75.5,90
G10,SYBR,,Unkn-37,37,,17.34707095,2047743.386,83,2229.017724,67.5,93.5
G11,SYBR,,Unkn-38,38,,15.63007165,7098406.232,82.5,2748.88011,76,92.5
G12,SYBR,,Unkn-38,38,,11.59408973,131891356.7,83,2440.193192,67.5,95
H01,SYBR,,Unkn-39,39,,19.4636105,442344.4947,82.5,2387.853082,77,90
H02,SYBR,,Unkn-39,39,,17.32102553,2086724.585,83,2008.554971,67.5,92.5
H03,SYBR,,Unkn-40,40,,17.9347522,1338097.495,82,2339.153204,76.5,88.5
H04,SYBR,,Unkn-40,40,,17.70814154,1576674.942,82.5,2009.77021,67.5,89
H05,SYBR,,Unkn-41,41,,17.16726375,2332455.015,82,1843.580258,77,92.5
H06,SYBR,,Unkn-41,41,,16.99744491,2637608.467,82.5,1472.89173,77.5,93
H07,SYBR,,Unkn-42,42,,18.14810948,1146570.283,83,1734.596032,77,93
H08,SYBR,,Unkn-42,42,,18.31610165,1015261.698,83,1533.95887,77.5,92
