Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.07624002,10000000,82.5,500.6968602,75.5,88
A02,SYBR,,Std,,13.90795059,10000000,83,425.7495129,78,88.5
A03,SYBR,,Std,,25.32345145,10000,82.5,483.8491326,75.5,90
A04,SYBR,,Std,,24.10193292,10000,83,402.0060952,76,89
A05,SYBR,,Std,,28.71702016,1000,82.5,441.8557202,76,87.5
A06,SYBR,,Std,,27.62454477,1000,83,395.3367409,76.5,88
A07,SYBR,,NTC,,32.9850988,NaN,82.5,407.1064265,77,87.5
A08,SYBR,,NTC,,32.22021798,NaN,83,338.4557632,78,87.5
A09,SYBR,,Unkn-01,,19.49344698,417691.0015,83.5,387.3598872,75.5,92
A10,SYBR,,Unkn-01,,19.27026996,488487.3642,83.5,418.1714764,76.5,91
A11,SYBR,,Unkn-02,,17.82949469,1342248.36,82.5,449.4291917,77,88
A12,SYBR,,Unkn-02,,16.10933738,4486785.945,83,428.8501022,77.5,88.5
B01,SYBR,,Unkn-03,,18.72040352,718436.2258,82,425.0706653,76.5,88
B02,SYBR,,Unkn-03,,17.41555557,1794539.585,82.5,403.8943334,76.5,87.5
B03,SYBR,,Unkn-04,,16.68637102,2993112.797,82.5,476.3888789,76,87.5
B04,SYBR,,Unkn-04,,15.33468274,7726082.695,83,419.3126271,76.5,95
B05,SYBR,,Unkn-05,,19.40479337,444494.4626,82.5,460.3567462,75.5,88.5
B06,SYBR,,Unkn-05,,17.5268962,1659699.487,83,416.5711383,77,87.5
B07,SYBR,,Unkn-06,,20.03547013,285568.2697,83,464.1541161,76.5,87.5
B08,SYBR,,Unkn-06,,17.85333826,1319982.44,83,409.9758,74.5,88.5
B09,SYBR,,Unkn-07,,29.232353,450.3781009,82,438.0284624,75.5,88.5
B10,SYBR,,Unkn-07,,26.37110764,3352.352806,82.5,406.2307941,67.5,88.5
B11,SYBR,,Unkn-08,,31.37171528,100.4038163,82,382.7469481,77.5,86.5
B12,SYBR,,Unkn-08,,29.79177495,304.1802263,82.5,311.252618,77.5,89.5
C01,SYBR,,Unkn-09,,19.63928302,377069.4747,82.5,445.3378535,75,87
C02,SYBR,,Unkn-09,,17.76007075,1409240.666,83,386.2148268,75,89
C03,SYBR,,Unkn-10,,20.93063644,152394.0841,82.5,458.1917232,76,89
C04,SYBR,,Unkn-10,,18.28268295,976684.2442,83,365.2762698,77.5,91
C05,SYBR,,Unkn-11,,16.12652923,4432995.504,82.5,476.5675205,75,90
C06,SYBR,,Unkn-11,,14.75011711,11643042.62,82.5,414.2141779,75.5,93
C07,SYBR,,Unkn-12,,16.80644165,2751310.586,83,487.7265888,77,88
C08,SYBR,,Unkn-12,,15.57338528,6534777.092,83.5,436.0578586,77.5,88
C09,SYBR,,Unkn-13,,18.09438903,1114613.024,82.5,475.7684683,77,88.5
