Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.64825449,10000000,83,416.9641695,76,87.5
A02,SYBR,,Std,,15.37829508,10000000,83,450.0318987,76.5,89
A03,SYBR,,Std,,15.2144469,10000000,83,429.0842346,76.5,87.5
A04,SYBR,,Std,,25.81345759,10000,82.5,414.066487,74.5,87.5
A05,SYBR,,Std,,25.64230889,10000,83,407.3241968,75,90
A06,SYBR,,Std,,25.63151776,10000,83,407.1586753,76,87.5
A07,SYBR,,Std,,28.17297512,1000,82.5,359.5222624,76,88.5
A08,SYBR,,Std,,27.9181835,1000,83,407.2899579,75.5,88
A09,SYBR,,Std,,27.46647564,1000,82.5,378.1650188,76,88
A10,SYBR,,NTC,,32.63549773,NaN,82.5,250.5025413,77.5,87
A11,SYBR,,NTC,,28.16532539,NaN,73.5,261.0049767,67.5,80.5
A12,SYBR,,NTC,,32.17957793,NaN,82.5,227.9114036,78,87.5
B01,SYBR,,Unkn-01,,29.00056345,599.1098993,82.5,345.49656,77.5,87.5
B02,SYBR,,Unkn-01,,28.97300463,611.1735646,82.5,380.0846644,74.5,87.5
B03,SYBR,,Unkn-01,,28.24316153,1036.23206,82.5,382.7273213,77.5,87
B04,SYBR,,Unkn-02,,19.55281029,556771.2216,82.5,444.393064,76,89.5
B05,SYBR,,Unkn-02,,19.24771458,694268.9141,82.5,436.9124914,76.5,90.5
B06,SYBR,,Unkn-02,,19.376644,632444.4359,83,442.4994183,76,90.5
B07,SYBR,,Unkn-03,,20.0670022,383826.3251,83,384.5699552,77.5,88
B08,SYBR,,Unkn-03,,19.77657197,473563.5734,83,432.6820702,77.5,90.5
B09,SYBR,,Unkn-03,,19.19827573,719547.991,83,424.9388792,77.5,88.5
B10,SYBR,,Unkn-04,,29.02968232,586.6219543,83,375.0323827,77.5,88.5
B11,SYBR,,Unkn-04,,29.15600829,535.3907794,83,375.3418454,78,88
B12,SYBR,,Unkn-04,,28.72530739,731.1101423,83,358.997424,77.5,89.5
C01,SYBR,,Unkn-05,,20.57593106,265611.0945,83.5,405.3930361,77,88.5
C02,SYBR,,Unkn-05,,20.58048121,264738.2574,83.5,425.6857447,75,88.5
C03,SYBR,,Unkn-05,,20.12765557,367349.5256,83.5,409.4541807,67.5,89.5
C04,SYBR,,Unkn-06,,17.8912853,1852135.485,82.5,453.0413586,76,88.5
C05,SYBR,,Unkn-06,,17.81100095,1962887.587,83,427.1824598,76.5,90
C06,SYBR,,Unkn-06,,17.79488693,1985902.478,83,391.2749897,76,88
C07,SYBR,,Unkn-07,,26.70874179,3144.276631,83,413.3608701,74,87.5
C08,SYBR,,Unkn-07,,26.50597764,3641.015362,83,427.4906501,75,88
C09,SYBR,,Unkn-07,,26.55908382,3503.791983,83,399.967929,74.5,88.5
C10,SYBR,,Unkn-08,,28.61064925,794.336627,82.5,400.6059881,67.5,87.5
C11,SYBR,,Unkn-08,,28.74310998,721.7550411,82.5,419.7824403,77.5,87.5
C12,SYBR,,Unkn-08,,28.21152848,1060.217773,82.5,379.0136627,67.5,87
D01,SYBR,,Unkn-09,,20.97654517,198786.3509,83.5,397.8681543,75,88.5
D02,SYBR,,Unkn-09,,20.88600635,212241.7671,83.5,390.9895452,75.5,91
D03,SYBR,,Unkn-09,,20.6140692,258383.3202,83.5,378.7420985,77.5,88
D04,SYBR,,Unkn-10,,20.31989978,319655.9092,82.5,421.2207463,75.5,88.5
D05,SYBR,,Unkn-10,,20.40864817,299778.8149,82.5,439.0106377,74,90
D06,SYBR,,Unkn-10,,19.67540513,509520.3707,83,451.5057058,74.5,91.5
D07,SYBR,,Unkn-11,,32.48018884,48.34190431,83,348.0390497,78,89
D08,SYBR,,Unkn-11,,32.06942435,65.06872797,83,383.6301218,78,90.5
D09,SYBR,,Unkn-11,,31.59149907,91.94340164,83,335.6469809,78,89
D10,SYBR,,Unkn-12,,29.84585637,325.0450306,82.5,380.0731898,76,87.5
D11,SYBR,,Unkn-12,,29.26913607,493.3213331,83,430.9571685,76,88.5
D12,SYBR,,Unkn-12,,29.69823363,361.6776692,83,380.2695781,74.5,88.5
E01,SYBR,,Unkn-13,,32.01418104,67.72171219,83,360.720765,78,88
E02,SYBR,,Unkn-13,,31.04052124,136.9681227,83,384.7204916,77.5,87.5
E03,SYBR,,Unkn-13,,30.79973389,163.0297615,83,377.9493469,77.5,88.5
