Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.38944969,10000000,83,421.4450406,77,90
A02,SYBR,,Std,,15.13352881,10000000,83,450.9368649,77.5,90.5
A03,SYBR,,Std,,15.08338601,10000000,83,451.6566244,76,89.5
A04,SYBR,,Std,,25.99733387,10000,82.5,391.2925031,75.5,89
A05,SYBR,,Std,,25.43746645,10000,83,414.9955268,76,89
A06,SYBR,,Std,,25.52583715,10000,83,392.0329604,76,88
A07,SYBR,,Std,,29.6974113,1000,82.5,344.6606349,76,87
A08,SYBR,,Std,,29.22574158,1000,82.5,372.6424134,76.5,88.5
A09,SYBR,,Std,,29.18488584,1000,82.5,366.0402363,76.5,88.5
A10,SYBR,,NTC,,32.36487415,NaN,82.5,350.5562251,76.5,89.5
A11,SYBR,,NTC,,31.99006958,NaN,82.5,319.4022776,78.5,87.5
A12,SYBR,,NTC,,31.88991847,NaN,82.5,324.5690769,77,86.5
B01,SYBR,,Unkn-01,,33.70708871,55.95884486,82.5,337.1034339,78,89.5
B02,SYBR,,Unkn-01,,33.56587063,61.36090462,82.5,394.4530119,74.5,88.5
B03,SYBR,,Unkn-01,,33.36830998,69.80442828,82.5,399.3186604,67.5,88
B04,SYBR,,Unkn-02,,30.40625737,482.3548274,83.5,357.797827,75.5,88.5
B05,SYBR,,Unkn-02,,30.33265972,506.0869569,83.5,397.6777387,77.5,88.5
B06,SYBR,,Unkn-02,,30.62656633,417.7613382,83.5,368.7959204,77.5,89
B07,SYBR,,Unkn-03,,31.128954,300.9852034,74,241.0048129,67.5,79.5
B08,SYBR,,Unkn-03,,30.75871826,383.2434121,74,325.4547472,67.5,80
B09,SYBR,,Unkn-03,,30.56367774,435.2629278,74,271.1152642,67.5,79.5
B10,SYBR,,Unkn-04,,34.44701498,34.52742233,82.5,250.2987942,78.5,89
B11,SYBR,,Unkn-04,,35.74353398,14.81542329,82.5,255.27472,77.5,87.5
B12,SYBR,,Unkn-04,,34.91508026,25.43949356,82.5,330.5349707,76.5,87
C01,SYBR,,Unkn-05,,32.29314735,140.7984381,83,326.3344305,78,90
C02,SYBR,,Unkn-05,,32.41599099,129.9518227,82.5,387.9734675,74,88.5
C03,SYBR,,Unkn-05,,32.03065083,167.1062574,82.5,359.4003623,77.5,90
C04,SYBR,,Unkn-06,,35.11254611,22.36372325,83,243.8623221,79,87
C05,SYBR,,Unkn-06,,35.08344295,22.79251855,82.5,277.931951,79.5,89
C06,SYBR,,Unkn-06,,35.38392901,18.73400877,82.5,354.9657585,76,87.5
C07,SYBR,,Unkn-07,,33.47298949,65.19517562,82.5,355.6999304,78,87
C08,SYBR,,Unkn-07,,35.29085513,19.90714818,82.5,372.7415175,77,88.5
C09,SYBR,,Unkn-07,,34.29202091,38.20247173,82.5,374.9768267,76.5,90
C10,SYBR,,Unkn-08,,20.33203119,345566.303,82.5,435.468582,67.5,90
C11,SYBR,,Unkn-08,,20.40400067,329711.6646,82.5,455.2911356,75.5,87.5
C12,SYBR,,Unkn-08,,20.15501312,387882.8468,83,449.675346,77,88.5
D01,SYBR,,Unkn-09,,33.93917795,48.09408603,82.5,334.1329545,76,90
D02,SYBR,,Unkn-09,,33.77964726,53.37092351,82.5,334.1570446,78,89.5
D03,SYBR,,Unkn-09,,34.18862022,40.86923828,82.5,302.1051091,78.5,89
