Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.37390714,10000000,83,414.1373039,75.5,88.5
A02,SYBR,,Std,,15.22651742,10000000,83,454.96297,76.5,90.5
A03,SYBR,,Std,,15.23417402,10000000,83,451.1973724,75.5,89
A04,SYBR,,Std,,25.78475702,10000,82.5,394.1107805,76,90
A05,SYBR,,Std,,25.71135628,10000,83,423.0577538,76.5,88
A06,SYBR,,Std,,25.75573836,10000,83,404.9194444,76,87.5
A07,SYBR,,Std,,29.18472048,1000,83,380.979352,75.5,89
A08,SYBR,,Std,,29.0779178,1000,83,410.2319241,76,89.5
A09,SYBR,,Std,,28.8024868,1000,82.5,402.3904787,76,88.5
A10,SYBR,,NTC,,31.24865802,NaN,82.5,391.9568509,75.5,87
A11,SYBR,,NTC,,31.21471774,NaN,82.5,421.4417824,76,90
A12,SYBR,,NTC,,31.48464508,NaN,82.5,398.2705397,75.5,87.5
B01,SYBR,,Unkn-01,,17.73349379,1974118.87,82.5,382.6044741,76.5,87.5
B02,SYBR,,Unkn-01,,17.39785716,2470017.885,82.5,432.9604546,75.5,91.5
B03,SYBR,,Unkn-01,,17.24398872,2737274.554,82.5,457.8813813,76,87
B04,SYBR,,Unkn-02,,34.12435637,34.86624945,82.5,385.7890915,76,87.5
B05,SYBR,,Unkn-02,,32.7515163,87.19605798,82.5,410.1067951,76,88
B06,SYBR,,Unkn-02,,32.89490555,79.23504534,82.5,396.4945037,67.5,88.5
B07,SYBR,,Unkn-03,,15.94119346,6532788.795,83,435.2907084,75.5,89.5
B08,SYBR,,Unkn-03,,15.68261934,7763884.822,83,473.5416389,75,89.5
B09,SYBR,,Unkn-03,,15.74066786,7468723.24,82.5,441.407461,75.5,90
B10,SYBR,,Unkn-04,,16.8508758,3558868.526,82.5,445.8952279,75,87.5
B11,SYBR,,Unkn-04,,16.82387398,3623613.269,82.5,455.7013692,76,87.5
B12,SYBR,,Unkn-04,,16.65880203,4045841.451,82.5,423.2347206,75,87.5
C01,SYBR,,Unkn-05,,27.37439589,3160.359061,83.5,367.5644109,75,89
C02,SYBR,,Unkn-05,,27.32052973,3276.094018,83.5,383.3893853,77,88.5
C03,SYBR,,Unkn-05,,27.21498733,3515.290268,83.5,384.667043,74,88.5
C04,SYBR,,Unkn-06,,31.13994781,255.7491188,82.5,401.5949979,75.5,89
C05,SYBR,,Unkn-06,,30.48319842,396.511841,82.5,409.7944398,75.5,88
C06,SYBR,,Unkn-06,,30.13773571,499.3813194,82.5,407.5027677,74,89
C07,SYBR,,Unkn-07,,18.661041,1062689.115,84,414.3628954,75.5,88.5
C08,SYBR,,Unkn-07,,18.47420751,1203881.081,84,465.6306248,75.5,91.5
C09,SYBR,,Unkn-07,,18.65644214,1065957.263,84,426.8755433,75.5,88.5
C10,SYBR,,Unkn-08,,33.23534325,63.12455244,82.5,391.2555495,76,87
C11,SYBR,,Unkn-08,,33.53858643,51.55429598,82.5,387.6184461,67.5,87
C12,SYBR,,Unkn-08,,33.13712112,67.40318842,82.5,374.9252167,77,88.5
D01,SYBR,,Unkn-09,,19.93248802,454690.8681,82.5,407.309979,74.5,87.5
D02,SYBR,,Unkn-09,,19.83163347,486364.3149,82.5,428.0366024,76,87.5
D03,SYBR,,Unkn-09,,19.73673934,518177.7805,82.5,431.2960134,75,88.5
D04,SYBR,,Unkn-10,,19.98133226,440101.1906,82.5,421.969196,67.5,89.5
D05,SYBR,,Unkn-10,,19.73328587,519374.0095,82.5,432.8948571,67.5,87.5
D06,SYBR,,Unkn-10,,19.51807662,599633.4864,82.5,442.6246921,75,88
D07,SYBR,,Unkn-11,,20.23219669,372226.8574,83,421.3537123,77,88.5
D08,SYBR,,Unkn-11,,20.10354114,405615.7547,83,446.5738893,77,88.5
D09,SYBR,,Unkn-11,,20.14310134,395042.0093,83,434.4708616,77,89
D10,SYBR,,Unkn-12,,29.69644355,670.4968357,83.5,372.5678882,77.5,89
D11,SYBR,,Unkn-12,,29.79143655,629.290212,83.5,373.3375877,77.5,88.5
D12,SYBR,,Unkn-12,,29.76096056,642.2266192,83.5,361.3254325,77.5,90
E01,SYBR,,Unkn-13,,29.25836702,898.3151277,83.5,355.2702547,77,90
E02,SYBR,,Unkn-13,,29.58072033,724.3588454,83.5,378.4993387,67.5,88
E03,SYBR,,Unkn-13,,29.39248436,821.3680624,83.5,377.3462653,77.5,89.5
E04,SYBR,,Unkn-14,,31.09145765,264.1649311,82.5,386.1129065,74.5,87
E05,SYBR,,Unkn-14,,30.41230237,415.7328688,82.5,410.5507876,67.5,90
E06,SYBR,,Unkn-14,,30.8323373,314.0610093,82.5,404.7676356,74.5,88
E07,SYBR,,Unkn-15,,28.25527678,1755.098531,82.5,403.7298419,75,88.5
E08,SYBR,,Unkn-15,,27.63418166,2657.079871,82.5,437.0968021,75.5,87.5
E09,SYBR,,Unkn-15,,28.17141253,1856.180384,82.5,427.4275552,74.5,88
E10,SYBR,,Unkn-16,,24.54142033,20952.37698,83.5,395.8594306,75.5,89
E11,SYBR,,Unkn-16,,22.4117241,86855.14774,83.5,433.8718335,75.5,89.5
E12,SYBR,,Unkn-16,,21.98504828,115483.943,83.5,421.7369618,76.5,90.5
F01,SYBR,,Unkn-17,,20.50289263,310679.2115,83,401.7812935,75,88
F02,SYBR,,Unkn-17,,19.54609056,588521.7107,83,423.096462,76.5,87.5
F03,SYBR,,Unkn-17,,19.55419909,585344.0466,82.5,427.3428785,73,87.5
F04,SYBR,,Unkn-18,,33.44865469,54.74481187,82.5,361.5526474,75,87
F05,SYBR,,Unkn-18,,32.96215912,75.75570459,82.5,395.4106284,76,89.5
F06,SYBR,,Unkn-18,,32.53678427,100.6384952,82.5,391.6901139,75.5,87
F07,SYBR,,Unkn-19,,32.30866861,117.1958837,82.5,367.5267805,73.5,87
F08,SYBR,,Unkn-19,,32.03848532,140.365124,82.5,402.5363428,67.5,87.5
F09,SYBR,,Unkn-19,,32.07277237,137.1882029,82.5,383.2838159,74.5,90.5
F10,SYBR,,Unkn-20,,27.63809212,2650.151282,83.5,379.7721296,75,89
F11,SYBR,,Unkn-20,,27.12589266,3730.753628,83.5,393.4176438,77,89
F12,SYBR,,Unkn-20,,27.19992196,3550.829341,84,400.9308628,75,90
G01,SYBR,,Unkn-21,,33.71004069,45.97768725,82.5,373.424314,76.5,87.5
G02,SYBR,,Unkn-21,,33.18992999,65.06794617,82.5,310.9252301,75.5,87.5
G03,SYBR,,Unkn-21,,33.26266286,61.9835239,82.5,351.962204,75.5,88
G04,SYBR,,Unkn-22,,33.27022852,61.67119983,83,340.4246482,78,87.5
G05,SYBR,,Unkn-22,,32.56146174,98.9938564,83,350.1682111,77.5,90
G06,SYBR,,Unkn-22,,31.88722059,155.2824803,83,338.2991602,78,89.5
G07,SYBR,,Unkn-23,,33.37678227,57.43601429,82.5,380.1020923,75,89.5
G08,SYBR,,Unkn-23,,32.19026042,126.8375871,82.5,388.2672371,77,88.5
G09,SYBR,,Unkn-23,,32.62224557,95.05661592,82.5,370.6229033,75.5,87.5
G10,SYBR,,Unkn-24,,19.76086147,509898.7331,83.5,387.3675834,77,90
G11,SYBR,,Unkn-24,,19.09221569,796848.2487,83.5,398.059176,78,89
G12,SYBR,,Unkn-24,,19.35181491,670035.6326,83.5,400.5543774,77,88.5
H01,SYBR,,Unkn-25,,32.53441951,100.7975228,82.5,341.7850645,76.5,87
H02,SYBR,,Unkn-25,,31.559059,193.3221741,82.5,379.9380714,75.5,89
H03,SYBR,,Unkn-25,,32.09913,134.7949647,82.5,369.965147,77.5,88
H04,SYBR,,Unkn-26,,29.13968345,972.3982857,83.5,366.905331,74.5,90
H05,SYBR,,Unkn-26,,27.35433506,3202.975372,83.5,398.3507841,75.5,89.5
H06,SYBR,,Unkn-26,,26.90321458,4328.805002,83.5,381.6635593,67.5,88.5
H07,SYBR,,Unkn-27,,34.51764959,26.81386182,82.5,375.1956221,74,88.5
H08,SYBR,,Unkn-27,,32.10926803,133.8856029,82.5,341.5415425,77.5,88
H09,SYBR,,Unkn-27,,32.47158987,105.1160394,83,337.4257192,77.5,87.5
H10,SYBR,,Unkn-28,,32.2344224,123.1521582,82.5,336.5136077,76.5,88.5
H11,SYBR,,Unkn-28,,31.99674419,144.3321792,82.5,334.4083955,77,87
H12,SYBR,,Unkn-28,,31.83127573,161.1926235,82.5,292.649119,78,87.5
