Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.59089312,10000000,83,443.7024961,76.5,87.5
A02,SYBR,,Std,,15.35081857,10000000,82.5,473.1948423,76,89
A03,SYBR,,Std,,15.40123772,10000000,82.5,455.115609,76,87.5
A04,SYBR,,Std,,25.50344255,10000,82.5,406.5290559,76,87
A05,SYBR,,Std,,25.33316153,10000,83,433.7715247,75.5,87.5
A06,SYBR,,Std,,25.35744544,10000,83,423.967121,75.5,88
A07,SYBR,,Std,,28.74408549,1000,82.5,357.5818694,76.5,92
A08,SYBR,,Std,,28.46064417,1000,82.5,388.5186892,76.5,89.5
A09,SYBR,,Std,,28.55824605,1000,82.5,397.4600634,76,87
A10,SYBR,,NTC,,32.9047918,NaN,82.5,309.8597466,78,88.5
A11,SYBR,,NTC,,32.56021637,NaN,82.5,326.0789726,77.5,88
A12,SYBR,,NTC,,32.02071201,NaN,82.5,361.7775081,76,89
B01,SYBR,,Unkn-01,,20.07743769,396483.2321,82.5,424.9188834,77,88.5
B02,SYBR,,Unkn-01,,19.8094716,478206.6957,82.5,446.0030126,76.5,89.5
B03,SYBR,,Unkn-01,,19.66863911,527705.3388,82.5,463.4007958,76.5,89.5
B04,SYBR,,Unkn-02,,17.22664053,2911476.547,83.5,442.0974726,75,90.5
B05,SYBR,,Unkn-02,,17.33772089,2693855.154,83.5,423.7824445,76,88.5
B06,SYBR,,Unkn-02,,17.22810898,2908487.988,83.5,427.7083233,76.5,89
B07,SYBR,,Unkn-03,,30.26524779,319.0249284,73.5,216.5766692,67.5,79
B08,SYBR,,Unkn-03,,30.21390981,330.6875077,73.5,219.3619496,67.5,79.5
B09,SYBR,,Unkn-03,,30.25284208,321.8049159,73.5,241.9925178,67.5,79.5
B10,SYBR,,Unkn-04,,19.80973558,478118.4179,83.5,442.7477439,75.5,88.5
B11,SYBR,,Unkn-04,,19.92759541,440288.4097,83.5,435.301558,67.5,90
B12,SYBR,,Unkn-04,,19.78202714,487474.0615,83.5,425.0393302,76.5,89
C01,SYBR,,Unkn-05,,29.28192638,634.5915713,82.5,384.0450173,77.5,89.5
C02,SYBR,,Unkn-05,,28.96192453,793.7618826,82.5,393.5087331,76,88
C03,SYBR,,Unkn-05,,28.96508872,792.0072624,82.5,416.6219118,75,89
C04,SYBR,,Unkn-06,,28.75295407,918.6752149,82.5,386.0863653,77.5,88
C05,SYBR,,Unkn-06,,30.09064351,360.460889,83,365.0799652,78,88
C06,SYBR,,Unkn-06,,30.03182088,375.5992137,83.5,370.3790848,77.5,90.5
C07,SYBR,,Unkn-07,,32.50386482,66.66179816,82.5,332.0035491,77.5,87
C08,SYBR,,Unkn-07,,32.22273737,81.14568458,82.5,353.1624111,78.5,88
C09,SYBR,,Unkn-07,,31.69264683,117.5635719,82.5,348.116861,78.5,87.5
C10,SYBR,,Unkn-08,,20.0357101,408224.4164,82.5,457.1997897,75.5,87.5
C11,SYBR,,Unkn-08,,20.0564453,402347.1782,82.5,445.3029338,76,88.5
C12,SYBR,,Unkn-08,,20.15013808,376827.9687,82.5,448.0422809,75,89.5
D01,SYBR,,Unkn-09,,31.20094349,165.813758,83,324.1791172,78.5,87.5
D02,SYBR,,Unkn-09,,30.64107358,245.2861136,82.5,332.6536006,78.5,88
D03,SYBR,,Unkn-09,,30.9439078,198.4684334,82.5,319.3673356,78,88.5
D04,SYBR,,Unkn-10,,30.62843167,247.4644181,82.5,361.1645215,78,87
D05,SYBR,,Unkn-10,,30.82852854,215.1474621,82.5,376.2682226,77.5,88
D06,SYBR,,Unkn-10,,29.85537147,424.9312128,82.5,380.8997371,77.5,89.5
D07,SYBR,,Unkn-11,,22.49545045,73078.28785,83.5,424.077716,75.5,91
D08,SYBR,,Unkn-11,,22.29592387,84021.74225,83.5,438.8851049,75,88.5
D09,SYBR,,Unkn-11,,22.20767908,89370.61826,83.5,455.0089157,76,88.5
D10,SYBR,,Unkn-12,,30.81493843,217.2021034,82.5,394.1370401,75,87
D11,SYBR,,Unkn-12,,30.59921992,252.5721195,82.5,370.0363725,77.5,92.5
D12,SYBR,,Unkn-12,,30.4947966,271.708037,82.5,370.4154157,76.5,87.5
E01,SYBR,,Unkn-13,,32.62368016,61.30343983,82.5,320.5055675,77,87
E02,SYBR,,Unkn-13,,32.91948239,49.84701865,82.5,340.7931532,77,87.5
E03,SYBR,,Unkn-13,,33.02455281,46.31541565,82.5,308.5355609,76.5,87.5
E04,SYBR,,Unkn-14,,18.85869324,929824.2121,82.5,456.4576975,67.5,87.5
E05,SYBR,,Unkn-14,,16.98370045,3450665.3,82.5,472.6330625,67.5,90
E06,SYBR,,Unkn-14,,16.93921587,3559708.075,82.5,438.0928853,67.5,88
E07,SYBR,,Unkn-15,,18.07467156,1608926.173,82.5,433.6898229,75.5,88
E08,SYBR,,Unkn-15,,17.56944235,2290826.465,82.5,461.4268053,67.5,90
E09,SYBR,,Unkn-15,,17.63662588,2185677.928,82.5,432.2020441,77,87.5
E10,SYBR,,Unkn-16,,28.72343074,937.8411543,82.5,233.2770914,78.5,87.5
E11,SYBR,,Unkn-16,,28.37351599,1197.873167,82.5,244.7086987,79,88
E12,SYBR,,Unkn-16,,28.39365934,1181.116086,82.5,229.5365048,79,86.5
F01,SYBR,,Unkn-17,,19.71383569,511285.7395,83,411.2860551,77,88
F02,SYBR,,Unkn-17,,19.50329708,592395.4892,83,454.0684005,74.5,87.5
F03,SYBR,,Unkn-17,,19.56646663,566793.5587,82.5,434.3261612,75,89.5
F04,SYBR,,Unkn-18,,31.8835836,102.8675713,82.5,236.0435316,76.5,87.5
F05,SYBR,,Unkn-18,,30.80574664,218.6028903,82.5,374.5602342,75.5,88
F06,SYBR,,Unkn-18,,30.50106933,270.5186624,82.5,357.5964483,76,89
F07,SYBR,,Unkn-19,,27.03787613,3048.541821,82.5,392.2599998,75.5,87.5
F08,SYBR,,Unkn-19,,26.51242021,4402.423364,82.5,422.2335963,77,87.5
F09,SYBR,,Unkn-19,,26.5418933,4312.605975,82.5,397.1554235,75,89.5
F10,SYBR,,Unkn-20,,16.66626125,4308443.58,82.5,436.641905,75,89.5
F11,SYBR,,Unkn-20,,16.50200611,4832930.355,83,460.6250684,76,91.5
F12,SYBR,,Unkn-20,,16.8905807,3682871.92,83,437.8063918,67.5,87.5
