Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,16.68332298,10000000,82.5,390.3198799,75.5,87
A02,SYBR,,Std,,15.43006033,10000000,82.5,412.8460382,76,90
A03,SYBR,,Std,,15.12766732,10000000,82.5,402.141253,75,87.5
A04,SYBR,,Std,,26.03096298,10000,82.5,331.9561367,76.5,87
A05,SYBR,,Std,,25.6528443,10000,82.5,323.4904211,76.5,87
A06,SYBR,,Std,,25.2014877,10000,82.5,328.9651983,75.5,88
A07,SYBR,,Std,,29.00407985,1000,82.5,225.3295058,78,86.5
A08,SYBR,,Std,,28.40142098,1000,82.5,268.1964576,77.5,87
A09,SYBR,,Std,,27.8029582,1000,82.5,270.758783,77,87
A10,SYBR,,NTC,,29.4317541,NaN,82.5,277.7401968,77.5,87
A11,SYBR,,NTC,,29.26951697,NaN,82.5,304.9088015,77.5,89.5
A12,SYBR,,NTC,,28.48013329,NaN,82.5,306.2272932,77.5,87
B01,SYBR,,Unkn-01,,30.73778035,211.4603914,82.5,319.9267535,78,89
B02,SYBR,,Unkn-01,,29.49283341,518.8190369,82.5,330.6445529,75.5,87
B03,SYBR,,Unkn-01,,29.18367709,648.3525924,82.5,325.0237757,75.5,88
B04,SYBR,,Unkn-02,,33.27121849,34.04252693,82.5,256.1491037,78,86.5
B05,SYBR,,Unkn-02,,31.58675598,114.6618285,82.5,298.5309943,76,86.5
B06,SYBR,,Unkn-02,,30.72947602,212.7301647,82.5,307.6211655,76,87.5
B07,SYBR,,Unkn-03,,31.32854752,138.1219445,82.5,328.2425701,67.5,87.5
B08,SYBR,,Unkn-03,,29.15785143,660.5369894,82.5,352.0507368,75,89
B09,SYBR,,Unkn-03,,28.77660768,869.486248,82.5,353.9681648,67.5,89
B10,SYBR,,Unkn-04,,22.5385809,78047.45796,82.5,394.9150825,76,87.5
B11,SYBR,,Unkn-04,,21.43122296,173407.223,82.5,405.5953832,76.5,87.5
B12,SYBR,,Unkn-04,,21.34091106,185073.1446,82.5,414.227371,74,89.5
C01,SYBR,,Unkn-05,,25.18288699,11599.50089,82.5,377.1406626,67.5,88
C02,SYBR,,Unkn-05,,23.57191747,37053.23038,82.5,401.6234321,75.5,88
C03,SYBR,,Unkn-05,,23.11402191,51545.52456,82.5,410.7061734,74.5,95
C04,SYBR,,Unkn-06,,22.92592743,59031.31198,83.5,357.9480537,67.5,91.5
C05,SYBR,,Unkn-06,,20.45019999,351739.1709,83.5,380.100329,76,89.5
C06,SYBR,,Unkn-06,,20.34973935,378159.0327,83.5,367.9282318,74.5,88
C07,SYBR,,Unkn-07,,27.01001023,3107.247478,83,355.8052742,67.5,89
C08,SYBR,,Unkn-07,,24.46106487,19518.13522,83,384.8437532,67.5,88.5
C09,SYBR,,Unkn-07,,23.51273916,38668.25004,83,379.3387105,67.5,91
C10,SYBR,,Unkn-08,,30.76375145,207.5379897,82.5,288.4189795,78.5,87
C11,SYBR,,Unkn-08,,31.12044457,160.4791859,82.5,303.4214384,78.5,87
C12,SYBR,,Unkn-08,,30.32441042,284.8742254,82.5,318.6626394,78.5,87
D01,SYBR,,Unkn-09,,33.21894286,35.3499688,82.5,202.0066709,77.5,86.5
D02,SYBR,,Unkn-09,,31.24507326,146.6891769,82.5,317.9204714,76.5,87
D03,SYBR,,Unkn-09,,31.04252195,169.7523936,82.5,324.8859646,76.5,87
D04,SYBR,,Unkn-10,,34.27546191,16.50433484,82.5,278.7328495,78.5,87
D05,SYBR,,Unkn-10,,32.55739035,56.95317372,82.5,368.8199449,67.5,87.5
D06,SYBR,,Unkn-10,,32.65113192,53.23140137,82.5,402.8116894,75,87.5
D07,SYBR,,Unkn-11,,23.296027,45207.03757,83,298.1588799,77.5,90.5
D08,SYBR,,Unkn-11,,22.27249263,94551.78113,83,353.6919672,77.5,88.5
D09,SYBR,,Unkn-11,,22.26156842,95299.37052,83,367.3114068,77.5,88.5
D10,SYBR,,Unkn-12,,33.72289798,24.58120243,82.5,301.7357184,76,87
D11,SYBR,,Unkn-12,,33.21830521,35.36622293,82.5,331.0445618,77.5,87.5
D12,SYBR,,Unkn-12,,33.48515193,29.17697487,82.5,336.7731762,75.5,89
E01,SYBR,,Unkn-13,,32.95273613,42.82891556,None,None,None,None
E02,SYBR,,Unkn-13,,31.77403501,100.1803866,73.5,258.1101046,67.5,80
E03,SYBR,,Unkn-13,,30.16270133,320.0983927,73.5,277.2467499,67.5,80
E04,SYBR,,Unkn-14,,30.52269149,246.9291234,82.5,368.3524471,76,88
E05,SYBR,,Unkn-14,,29.21739614,632.7818008,82.5,401.008111,76.5,87
E06,SYBR,,Unkn-14,,28.96120512,761.1428152,82.5,370.1012372,75.5,87.5
E07,SYBR,,Unkn-15,,32.42716005,62.55937613,82.5,335.7557826,74,88
E08,SYBR,,Unkn-15,,30.74109505,210.9556747,82.5,398.1352116,67.5,88
E09,SYBR,,Unkn-15,,30.81650415,199.7933314,82.5,336.0687211,78.5,88.5
E10,SYBR,,Unkn-16,,32.84009235,46.45209445,82.5,297.0978647,78.5,87.5
E11,SYBR,,Unkn-16,,31.91861946,90.26388257,82.5,337.3694902,78.5,90
E12,SYBR,,Unkn-16,,32.06177951,81.41253715,82.5,316.0771283,75,87
F01,SYBR,,Unkn-17,,22.66376826,71312.09678,83,388.0604128,75.5,89
F02,SYBR,,Unkn-17,,21.31173471,189007.2126,82.5,369.2958148,74.5,89
F03,SYBR,,Unkn-17,,19.83159381,549418.5824,83,420.9571587,76,87.5
F04,SYBR,,Unkn-18,,30.89129194,189.3063986,82.5,363.2232061,78,87.5
F05,SYBR,,Unkn-18,,30.14396052,324.452518,82.5,355.0131537,75.5,87
F06,SYBR,,Unkn-18,,29.67792172,454.0102378,82.5,391.7215391,75,87.5
F07,SYBR,,Unkn-19,,30.39154077,271.4157018,82.5,351.2904088,76,89.5
F08,SYBR,,Unkn-19,,29.67866061,453.7684571,82.5,343.2013997,67.5,88
F09,SYBR,,Unkn-19,,28.71929057,906.1673844,82.5,335.9104341,74,88.5
F10,SYBR,,Unkn-20,,22.73595654,67695.75018,83.5,340.4442708,74.5,88.5
F11,SYBR,,Unkn-20,,21.4325278,173244.1766,83.5,373.9677659,75.5,90.5
F12,SYBR,,Unkn-20,,21.3625477,182208.6866,83.5,363.6710227,67.5,89
G01,SYBR,,Unkn-21,,19.30417825,803590.1521,83,378.0201688,76.5,87.5
G02,SYBR,,Unkn-21,,18.98912249,1008502.647,83,411.7513453,77,87.5
G03,SYBR,,Unkn-21,,18.05339082,1979931.243,83,418.8975605,75,90
G04,SYBR,,Unkn-22,,19.28380856,815478.0181,82.5,397.9649696,76,87.5
G05,SYBR,,Unkn-22,,18.74847458,1199562.117,82.5,418.5655166,76,92
G06,SYBR,,Unkn-22,,17.9702327,2102260.413,82.5,408.582261,67.5,90.5
G07,SYBR,,Unkn-23,,26.51087565,4452.997676,82.5,327.5248855,74,87
G08,SYBR,,Unkn-23,,25.21710867,11316.8266,82.5,359.3808561,67.5,87
G09,SYBR,,Unkn-23,,24.58848752,17805.03804,82.5,397.4245102,67.5,89
G10,SYBR,,Unkn-24,,30.16933272,318.5717328,82.5,309.4045523,74,88.5
G11,SYBR,,Unkn-24,,29.76891407,425.1834801,82.5,318.1284075,67.5,88
G12,SYBR,,Unkn-24,,28.69107099,924.7915284,82.5,338.3203055,74,90.5
H01,SYBR,,Unkn-25,,32.76538644,49.02248937,83,280.9971173,78,89
