Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.51082717,10000000,83,408.2361477,76.5,87.5
A02,SYBR,,Std,,15.33074251,10000000,83,467.2102941,78,89.5
A03,SYBR,,Std,,15.22612056,10000000,83,480.5284593,75.5,88.5
A04,SYBR,,Std,,25.7773889,10000,83,396.8770759,75,87.5
A05,SYBR,,Std,,25.58455996,10000,83,431.9414277,76.5,87.5
A06,SYBR,,Std,,25.57357793,10000,83,390.2350892,75.5,88.5
A07,SYBR,,Std,,28.45785442,1000,83,350.4416014,76.5,90
A08,SYBR,,Std,,28.20074108,1000,83,402.3520448,76.5,89
A09,SYBR,,Std,,28.19014381,1000,82.5,390.7482651,76,88
A10,SYBR,,NTC,,28.4399902,NaN,82.5,352.1855682,76.5,88
A11,SYBR,,NTC,,28.17085038,NaN,82.5,393.9269132,77,88
A12,SYBR,,NTC,,27.87380724,NaN,82.5,278.5786301,78,86.5
B01,SYBR,,Unkn-01,,17.52038568,2330582.993,82.5,415.467034,77.5,89
B02,SYBR,,Unkn-01,,17.36396919,2601295.351,82.5,451.190656,76,89
B03,SYBR,,Unkn-01,,17.27456978,2769917.322,82.5,466.2350257,76,91.5
B04,SYBR,,Unkn-02,,21.8366004,112336.4437,83,435.0710349,76,87.5
B05,SYBR,,Unkn-02,,21.55099114,137298.0842,83,444.5407913,76,88
B06,SYBR,,Unkn-02,,21.63739199,129211.819,83,460.9363909,75,88.5
B07,SYBR,,Unkn-03,,28.61817658,957.9808789,83,287.2149975,78.5,87
B08,SYBR,,Unkn-03,,23.32900669,39369.90978,74,276.908305,67.5,87
B09,SYBR,,Unkn-03,,27.22041699,2557.613527,82.5,232.7607208,79,87.5
B10,SYBR,,Unkn-04,,29.69414775,449.8434346,82.5,327.9352821,78,88.5
B11,SYBR,,Unkn-04,,29.64379834,466.0406208,82.5,343.1988881,77,86.5
B12,SYBR,,Unkn-04,,28.24409347,1245.934998,82.5,232.8188156,79,87.5
C01,SYBR,,Unkn-05,,28.15505536,1326.362672,82.5,253.4211274,78,89.5
C02,SYBR,,Unkn-05,,28.0818147,1396.397787,82.5,243.5458173,77.5,86.5
C03,SYBR,,Unkn-05,,27.62968762,1918.492551,82.5,238.6393363,79,86.5
C04,SYBR,,Unkn-06,,29.23227659,622.2794009,83,352.6171548,78,88
C05,SYBR,,Unkn-06,,29.30469935,591.4092597,83.5,378.9825869,78,88.5
C06,SYBR,,Unkn-06,,29.01241834,726.2189559,83,340.6487965,78,91
C07,SYBR,,Unkn-07,,19.01533055,815330.6336,83,447.7431992,75.5,92.5
C08,SYBR,,Unkn-07,,18.84620529,918198.3193,83,476.55542,76.5,87.5
C09,SYBR,,Unkn-07,,18.96232122,846267.625,83,477.8665925,76.5,87.5
C10,SYBR,,Unkn-08,,31.13120118,163.9057342,82.5,363.8056766,76,87
C11,SYBR,,Unkn-08,,31.08706453,169.0678091,82.5,370.7173213,76,89
C12,SYBR,,Unkn-08,,30.89701642,193.2179819,82.5,375.1436554,76,90.5
D01,SYBR,,Unkn-09,,30.22942801,308.8439499,83,310.9967267,78,90
D02,SYBR,,Unkn-09,,29.99611262,363.854066,83,325.3531471,78,93
D03,SYBR,,Unkn-09,,29.48334133,521.6529751,83,370.9273087,77.5,89
D04,SYBR,,Unkn-10,,30.63185993,232.782802,82.5,373.761123,76,87
D05,SYBR,,Unkn-10,,30.28494166,297.0304846,82.5,390.5850345,77.5,87.5
D06,SYBR,,Unkn-10,,30.18476508,318.6885404,82.5,385.3245755,76,89
D07,SYBR,,Unkn-11,,21.1325345,184222.2461,83,435.911012,75,89.5
