Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Melt Temperature,Peak Height,Begin Temperature,End Temperature
A01,SYBR,,Std,,15.31234624,10000000,83,428.5685685,75.5,90
A02,SYBR,,Std,,15.26236177,10000000,83,462.1010585,77.5,87.5
A03,SYBR,,Std,,15.21410305,10000000,83,457.8358583,75.5,88
A04,SYBR,,Std,,25.72990428,10000,82.5,418.9569662,76.5,87.5
A05,SYBR,,Std,,25.63887807,10000,83,423.1520221,75.5,88
A06,SYBR,,Std,,25.64776538,10000,83,425.7339162,67.5,87.5
A07,SYBR,,Std,,29.10072135,1000,83,384.0088891,75.5,88.5
A08,SYBR,,Std,,28.48872842,1000,83,424.4099678,76,88
A09,SYBR,,Std,,28.37831395,1000,82.5,413.8452419,76,88
A10,SYBR,,NTC,,31.22272812,NaN,82.5,318.5013376,77.5,87.5
A11,SYBR,,NTC,,30.88949618,NaN,82.5,328.1483768,77,87
A12,SYBR,,NTC,,31.15835294,NaN,82.5,343.2770382,76,88
B01,SYBR,,Unkn-01,,16.54014208,4348328.102,83,448.7438101,76,89.5
B02,SYBR,,Unkn-01,,16.50752752,4446130.483,82.5,425.001977,73.5,89
B03,SYBR,,Unkn-01,,16.37189926,4877003.398,83,435.1164398,76,87.5
B04,SYBR,,Unkn-02,,29.16316847,793.5785525,82.5,416.6577871,77.5,88
B05,SYBR,,Unkn-02,,28.83716023,991.1700967,82.5,427.844218,75,89.5
B06,SYBR,,Unkn-02,,28.95352771,915.5499868,82.5,404.1896811,75.5,88.5
B07,SYBR,,Unkn-03,,28.48485009,1260.365906,83,372.637352,77.5,90
B08,SYBR,,Unkn-03,,28.17259591,1559.484955,83,407.9010465,77.5,91
B09,SYBR,,Unkn-03,,28.15775934,1575.344482,83,397.8701095,77.5,88.5
B10,SYBR,,Unkn-04,,19.08082372,768801.5944,82.5,460.5547618,75,88.5
B11,SYBR,,Unkn-04,,19.1863968,715393.9612,82.5,449.2033615,67.5,87.5
B12,SYBR,,Unkn-04,,19.12344796,746774.8411,82.5,451.0874781,76,87.5
C01,SYBR,,Unkn-05,,28.89761831,951.1335544,82.5,411.7066322,74.5,88
C02,SYBR,,Unkn-05,,29.47580784,641.1967225,82.5,431.9656052,67.5,88
C03,SYBR,,Unkn-05,,29.04661916,859.230936,82.5,432.5930144,76,87.5
C04,SYBR,,Unkn-06,,22.10670578,97633.27975,82.5,434.440217,75.5,88
C05,SYBR,,Unkn-06,,20.57087691,278281.9762,82.5,444.2209082,67.5,87.5
C06,SYBR,,Unkn-06,,18.51675194,1129491.696,83,455.0942015,67.5,88
C07,SYBR,,Unkn-07,,26.1147955,6345.527881,82.5,398.5216016,76,87.5
C08,SYBR,,Unkn-07,,26.23479603,5846.898796,82.5,433.8818188,75.5,90
C09,SYBR,,Unkn-07,,26.11682795,6336.738413,82.5,427.5894216,75.5,87
C10,SYBR,,Unkn-08,,21.1238018,190861.2823,82.5,412.3728126,77.5,87.5
C11,SYBR,,Unkn-08,,21.12485163,190724.6808,82.5,440.6852671,77.5,88
C12,SYBR,,Unkn-08,,21.12529036,190667.6231,83,453.46485,77,87.5
D01,SYBR,,Unkn-09,,19.45786876,594483.4246,83,412.6505932,77.5,90
D02,SYBR,,Unkn-09,,19.26816383,676592.5674,82.5,432.3157495,75.5,90.5
D03,SYBR,,Unkn-09,,19.25540328,682506.3371,82.5,425.9756315,76,89
D04,SYBR,,Unkn-10,,31.47656447,163.832535,82.5,390.5893171,76,87.5
D05,SYBR,,Unkn-10,,30.91820641,239.759933,82.5,415.905155,75,91
D06,SYBR,,Unkn-10,,31.83363927,128.4223107,82.5,399.5907318,74,90
D07,SYBR,,Unkn-11,,18.61034177,1059652.035,82.5,424.359902,76,88
D08,SYBR,,Unkn-11,,18.43756418,1192167.155,83,482.3585953,76,88
D09,SYBR,,Unkn-11,,18.37850633,1241163.84,83,489.3437667,67.5,87.5
D10,SYBR,,Unkn-12,,19.2477403,686082.4902,82.5,448.3939086,67.5,88
D11,SYBR,,Unkn-12,,19.24599472,686899.7335,83,476.4681903,74.5,88.5
D12,SYBR,,Unkn-12,,19.29695676,663436.3045,83,441.5774579,75,89
E01,SYBR,,Unkn-13,,28.22962082,1500.000318,82.5,376.7550172,74.5,87.5
E02,SYBR,,Unkn-13,,28.39045464,1344.172552,82.5,426.6499249,74,88.5
E03,SYBR,,Unkn-13,,28.31051926,1419.484211,82.5,428.6923352,67.5,89
E04,SYBR,,Unkn-14,,28.44521005,1294.903407,82.5,402.7034298,77.5,87.5
E05,SYBR,,Unkn-14,,28.45000997,1290.671488,82.5,424.1486216,74.5,89
E06,SYBR,,Unkn-14,,28.69230248,1094.08904,82.5,386.4314255,77.5,89.5
E07,SYBR,,Unkn-15,,19.04342879,788660.4095,82.5,429.4386747,75.5,88.5
E08,SYBR,,Unkn-15,,19.30014806,661993.9515,82.5,409.3426105,76,89
E09,SYBR,,Unkn-15,,19.04167885,789602.1842,82.5,451.7139281,76,88.5
