Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
0000c4f7bd659cef70ac7004c8055fcd	Bacteria						
0007351022292069dc1834a848408010	Bacteria	Myxococcota	Polyangia	Polyangiales	SG8-38	SG8-38	
000d4153797696a2689e5d97348133fe	Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
002af0dea852a647a6effa5e962df496	Bacteria	Pseudomonadota	Gammaproteobacteria				
003778e9720df1e4f3550942d8b6aea6	Bacteria						
003c47bd38a45aafdc1225fdbd1e0fa6	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
00525dad358351dba003fd4242f2a645	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	
00635e77f64a4de84ac0a005b81113c0	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Curtobacterium	
00740f47a6f6515629ee7153b2cdf8a9	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36		
009e12387593d123e37bbf123dfff0ed	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			
00a1c19c3be917577921199fa83ce26a	Bacteria						
00a32ade6caaabfc88602a21cc1da7e5	Bacteria						
00bf9f001cc2c2480beecb6d9f12a4a8	Bacteria						
00eacf696e2dcda27320622f7d64eb62	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_aurimucosum
00f4ca237cf0e19117e23b976d9eaa0f	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides_difficile
00f4feb25088fb662ce3a01840ef4314	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
00f52d744618f40c38a7968387819292	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis
0101aee3564d4ea0ecf330dea0b26fbd	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales			
011644eeed613c07a78dc6ef01e39884	Bacteria						
0124016e88ca1f17efcafcf2ffcc5910	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	
0134e87a176fced5bb19fe58da73906f	Bacteria						
01366d8dd3aaf88308fbbfd5d3da117d	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Woeseiaceae		
013b3a1f915fcdd5be61f1fa435a6e61	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella_adiacens
