	xB0072	xB0075	xB0076	xB0077	xB0078	xB0115	x101	x102	x106	x107	x109	x110	x114	x116	x117	x118	x122	x123	x125	x126	x133	x138	x140	x141	x142	x146	x147	x148	x149	x150	x154	x155	x156	x157	x158	x162	x164	x165	x166	x170	x172	x173	x174	x178	x180	x182	x185	x187	x188	x189	x192	x194	x195	x196	x197	x200	x201	x202	x203	x204	x205	x208	x209	x210	x211	x212	x213	x216	x217	x218	x219	x220	x221	x225	x226	x227	x228	x229	x232	x233	x234	x235	x236	x237	x240	x242	x243	x244	x248	x249	x250	x251	x252	x257	x258	x259	x264	x265	x266	x267	x268	x272	x273	x275	x276	x280	x281	x282	x283	x284	x98	xDRA190709_008	xFJ190610_001	xFJ190610_012	xFJ190610_013	xFJ190610_027	xFJ190612_001	xFJ190612_002	xFJ190619_001	xFJ190619_002	xFJ190619_004	xFJ190619_005	xFJ190619_006	xFJ190619_007	xFJ190621_002	xFJ190628_003	xFJ190628_005	xFJ190628_009	xFJ190628_011	xFJ190628_012	xFJ190628_013	xFJ190705_002	xFJ190705_004	xFJ190705_005	xFJ190709_001	xFJ190711_010	xFJ190809_007	xJ190705_006	xJL190619_002	xJL190619_005	xJL190619_006	xJL190619_009	xJL190628_001	xJL190628_003	xJL190628_005	xJL190628_006	xJL190703_005	xJL190711_001	xJL190711_002	xJL190711_004	xMY190619_001	xMY190619_002	xPF190709_001
xB0072	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0075	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0076	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0077	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0078	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0115	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.0	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.00505859637632966	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005009174346923828	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005096565466374159	0.005089632701128721	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005227484274655581	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005157974548637867	0.004941404797136784	0.004941404797136784	0.004990008659660816	0.004941404797136784	0.004995303228497505	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005022402387112379	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005015963222831488	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004970984533429146	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.00499788811430335	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005779198836535215	0.005076255183666945	0.004941404797136784	0.004941404797136784	0.005004444159567356	0.004941404797136784	0.004941404797136784	0.005219766404479742	0.004941404797136784	0.004941404797136784	0.005730652716010809	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.005144736729562283	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004014891572296619	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784	0.004941404797136784
x101	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
x102	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
x106	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
x107	0.0	0.0	0.0	0.0	0.0	0.004941404797136784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001171918993350118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.777029921067879e-05	0.0	0.0	0.0	0.0	0.0	0.0001551612367620692	0.0001482285442762077	0.0	0.0	0.0	0.0	0.0	0.0	0.0002860809909179807	0.0	0.0	0.0	0.0	0.0	0.0002165706246159971	0.0	0.0	4.860390254179947e-05	0.0	5.389887883211486e-05	0.0	0.0	0.0	8.099830301944166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.455928425770253e-05	0.0	0.0	0.0	2.957968717964832e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.648413934977725e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008377973572351038	0.0001348509540548548	0.0	0.0	6.303994450718164e-05	0.0	0.0	0.0002783625386655331	0.0	0.0	0.0007892515859566629	0.0	0.0	0.0	0.0	0.0002033329656114802	0.0	0.0	0.0	0.0	0.0	0.0	0.000926513341255486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
