	xB0005	xB0008	xB0009	xB0010	xB0011	xB0013	xB0014	xB0015	xB0016	xB0017	xB0018	xB0019	xB0025	xB0028	xB0030	xB0031	xB0032	xB0033	xB0035	xB0037	xB0038	xB0040	xB0041	xB0042	xB0043	xB0045	xB0046	xB0047	xB0048	xB0049	xB0050	xB0054	xB0056	xB0057	xB0058	xB0060	xB0061	xB0062	xB0063	xB0064	xB0065	xB0066	xB0067	xB0068	xB0069	xB0071	xB0072	xB0073	xB0074	xB0075	xB0076	xB0077	xB0078	xB0079	xB0080	xB0081	xB0084	xB0085	xB0086	xB0087	xB0109	xB0115	xB0116	xB0118	xB0122	xB0128	xB0135	xB0144	xB0146	xB0154	xB0166	xB0167	x1	x110	x126	x148	x194	x196	x197	x200	x202	x208	x209	x212	x216	x219	x221	x225	x226	x227	x232	x235	x237	x240	x243	x248	x25	x251	x252	x259	x26	x264	x265	x267	x268	x272	x275	x284	x33	x41	x42	x57	x63	x65	x72	x81	x89	x9	x90	xFJ190628_005	xFJ190809_007	xFJ190809_008	xFJ190822_006
xB0005	0.0	0.001888986560516059	0.0	0.002824173076078296	0.0	0.0	0.00218946416862309	0.0	0.002286781091243029	0.002611335832625628	0.005037298426032066	0.005037298426032066	0.0	0.0	0.005037298426032066	0.00249875127337873	0.002824173076078296	0.005037298426032066	0.002310292096808553	0.0	0.0	0.0	0.005037298426032066	0.0	0.002208223333582282	0.005037298426032066	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.005037298426032066	0.0	0.002181278541684151	0.001679099164903164	0.0	0.0009413909865543246	0.0	0.0	0.0	0.005037298426032066	0.0	0.002416044007986784	0.001186971319839358	0.0	0.002824173076078296	0.002824173076078296	0.002204400952905416	0.001993895974010229	0.002664654050022364	0.0	0.0	0.0	0.002274118363857269	0.001912837149575353	0.0	0.0	0.001890851301141083	0.00249001756310463	0.0	0.0	0.0	0.005312645807862282	0.0	0.0	0.01893340796232224	0.005037298426032066	0.005037298426032066	0.004097041208297014	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.002824173076078296	0.0	0.007526461500674486	0.007534180302172899	0.0	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.002824173076078296	0.004999821539968252	0.005037298426032066	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.005037298426032066	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.0	0.002490012673661113	0.0	0.001660819048993289	0.002088176552206278	0.00531306816264987	0.002824173076078296	0.005037298426032066	0.00408881576731801	0.005037298426032066	0.002491598716005683	0.02778944373130798	0.05055424198508263	0.007547770161181688	0.005037298426032066	0.05698662996292114
xB0008	0.001888986560516059	0.0	0.001888986560516059	0.004713152069598436	0.001888986560516059	0.001888986560516059	0.0009177919710054994	0.001888986560516059	0.001286940881982446	0.0009911933448165655	0.003148311050608754	0.003148311050608754	0.001888986560516059	0.001888986560516059	0.003148311050608754	0.0006097646546550095	0.004713152069598436	0.003148311050608754	0.001099401735700667	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.003148311050608754	0.001888986560516059	0.001349590951576829	0.003148311050608754	0.001888986560516059	0.001888986560516059	0.004713152069598436	0.001888986560516059	0.001888986560516059	0.003148311050608754	0.001888986560516059	0.003148311050608754	0.001888986560516059	0.001020656432956457	0.0002098873374052346	0.001888986560516059	0.002830371027812362	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.003148311050608754	0.001888986560516059	0.001260906923562288	0.003075950313359499	0.001888986560516059	0.004713152069598436	0.004713152069598436	0.001385160721838474	0.0009687417186796665	0.0009002154693007469	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.001173609169200063	0.001493983902037144	0.001888986560516059	0.001888986560516059	0.001141250948421657	0.004378993529826403	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.007201625499874353	0.001888986560516059	0.001888986560516059	0.02082238532602787	0.003148311050608754	0.003148311050608754	0.005986019968986511	0.001888986560516059	0.004713152069598436	0.001888986560516059	0.001888986560516059	0.003148311050608754	0.001888986560516059	0.004713152069598436	0.001888986560516059	0.005637478549033403	0.005645197350531816	0.001888986560516059	0.004713152069598436	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.004713152069598436	0.001888986560516059	0.001888986560516059	0.003148311050608754	0.004713152069598436	0.006888804491609335	0.003148311050608754	0.004713152069598436	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.004713152069598436	0.004713152069598436	0.003148311050608754	0.001888986560516059	0.001888986560516059	0.001888986560516059	0.004713152069598436	0.004713152069598436	0.001888986560516059	0.004378995858132839	0.001888986560516059	0.001131900120526552	0.001393930986523628	0.007202047854661942	0.004713152069598436	0.003148311050608754	0.002199829323217273	0.003148311050608754	0.004380582366138697	0.02967842482030392	0.05244322866201401	0.005658791866153479	0.003148311050608754	0.05887561663985252
xB0009	0.0	0.001888986560516059	0.0	0.002824173076078296	0.0	0.0	0.00218946416862309	0.0	0.002286781091243029	0.002611335832625628	0.005037298426032066	0.005037298426032066	0.0	0.0	0.005037298426032066	0.00249875127337873	0.002824173076078296	0.005037298426032066	0.002310292096808553	0.0	0.0	0.0	0.005037298426032066	0.0	0.002208223333582282	0.005037298426032066	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.005037298426032066	0.0	0.002181278541684151	0.001679099164903164	0.0	0.0009413909865543246	0.0	0.0	0.0	0.005037298426032066	0.0	0.002416044007986784	0.001186971319839358	0.0	0.002824173076078296	0.002824173076078296	0.002204400952905416	0.001993895974010229	0.002664654050022364	0.0	0.0	0.0	0.002274118363857269	0.001912837149575353	0.0	0.0	0.001890851301141083	0.00249001756310463	0.0	0.0	0.0	0.005312645807862282	0.0	0.0	0.01893340796232224	0.005037298426032066	0.005037298426032066	0.004097041208297014	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.002824173076078296	0.0	0.007526461500674486	0.007534180302172899	0.0	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.002824173076078296	0.004999821539968252	0.005037298426032066	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.005037298426032066	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.0	0.002490012673661113	0.0	0.001660819048993289	0.002088176552206278	0.00531306816264987	0.002824173076078296	0.005037298426032066	0.00408881576731801	0.005037298426032066	0.002491598716005683	0.02778944373130798	0.05055424198508263	0.007547770161181688	0.005037298426032066	0.05698662996292114
xB0010	0.002824173076078296	0.004713152069598436	0.002824173076078296	0.0	0.002824173076078296	0.002824173076078296	0.003795360215008259	0.002824173076078296	0.003426211187615991	0.003721958491951227	0.007861451245844364	0.007861451245844364	0.002824173076078296	0.002824173076078296	0.007861451245844364	0.004103387705981731	0.0	0.007861451245844364	0.003613750450313091	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.007861451245844364	0.002824173076078296	0.003363561583682895	0.007861451245844364	0.002824173076078296	0.002824173076078296	0.0	0.002824173076078296	0.002824173076078296	0.007861451245844364	0.002824173076078296	0.007861451245844364	0.002824173076078296	0.003692586673423648	0.004503265488892794	0.002824173076078296	0.001882781973108649	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.007861451245844364	0.002824173076078296	0.003452245146036148	0.001637201756238937	0.002824173076078296	0.0	0.0	0.003327991347759962	0.00374441035091877	0.003812936833128333	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.003539542900398374	0.003219168167561293	0.002824173076078296	0.002824173076078296	0.003571901703253388	0.005314170848578215	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.002488482976332307	0.002824173076078296	0.002824173076078296	0.01893402449786663	0.007861451245844364	0.007861451245844364	0.001886953134089708	0.002824173076078296	0.0	0.002824173076078296	0.002824173076078296	0.007861451245844364	0.002824173076078296	0.0	0.002824173076078296	0.01035061292350292	0.01035833265632391	0.002824173076078296	0.0	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.0	0.002824173076078296	0.002824173076078296	0.007861451245844364	0.0	0.007823984138667583	0.007861451245844364	0.0	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.0	0.0	0.007861451245844364	0.002824173076078296	0.002824173076078296	0.002824173076078296	0.0	0.0	0.002824173076078296	0.005314175970852375	0.002824173076078296	0.003581251949071884	0.003319221083074808	0.002488914877176285	0.0	0.007861451245844364	0.004492257721722126	0.007861451245844364	0.005315761547535658	0.02779006026685238	0.05055485665798187	0.0103719225153327	0.007861451245844364	0.05698724463582039
xB0011	0.0	0.001888986560516059	0.0	0.002824173076078296	0.0	0.0	0.00218946416862309	0.0	0.002286781091243029	0.002611335832625628	0.005037298426032066	0.005037298426032066	0.0	0.0	0.005037298426032066	0.00249875127337873	0.002824173076078296	0.005037298426032066	0.002310292096808553	0.0	0.0	0.0	0.005037298426032066	0.0	0.002208223333582282	0.005037298426032066	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.005037298426032066	0.0	0.002181278541684151	0.001679099164903164	0.0	0.0009413909865543246	0.0	0.0	0.0	0.005037298426032066	0.0	0.002416044007986784	0.001186971319839358	0.0	0.002824173076078296	0.002824173076078296	0.002204400952905416	0.001993895974010229	0.002664654050022364	0.0	0.0	0.0	0.002274118363857269	0.001912837149575353	0.0	0.0	0.001890851301141083	0.00249001756310463	0.0	0.0	0.0	0.005312645807862282	0.0	0.0	0.01893340796232224	0.005037298426032066	0.005037298426032066	0.004097041208297014	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.002824173076078296	0.0	0.007526461500674486	0.007534180302172899	0.0	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.002824173076078296	0.004999821539968252	0.005037298426032066	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.005037298426032066	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.0	0.002490012673661113	0.0	0.001660819048993289	0.002088176552206278	0.00531306816264987	0.002824173076078296	0.005037298426032066	0.00408881576731801	0.005037298426032066	0.002491598716005683	0.02778944373130798	0.05055424198508263	0.007547770161181688	0.005037298426032066	0.05698662996292114
xB0013	0.0	0.001888986560516059	0.0	0.002824173076078296	0.0	0.0	0.00218946416862309	0.0	0.002286781091243029	0.002611335832625628	0.005037298426032066	0.005037298426032066	0.0	0.0	0.005037298426032066	0.00249875127337873	0.002824173076078296	0.005037298426032066	0.002310292096808553	0.0	0.0	0.0	0.005037298426032066	0.0	0.002208223333582282	0.005037298426032066	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.005037298426032066	0.0	0.002181278541684151	0.001679099164903164	0.0	0.0009413909865543246	0.0	0.0	0.0	0.005037298426032066	0.0	0.002416044007986784	0.001186971319839358	0.0	0.002824173076078296	0.002824173076078296	0.002204400952905416	0.001993895974010229	0.002664654050022364	0.0	0.0	0.0	0.002274118363857269	0.001912837149575353	0.0	0.0	0.001890851301141083	0.00249001756310463	0.0	0.0	0.0	0.005312645807862282	0.0	0.0	0.01893340796232224	0.005037298426032066	0.005037298426032066	0.004097041208297014	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.002824173076078296	0.0	0.007526461500674486	0.007534180302172899	0.0	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.002824173076078296	0.004999821539968252	0.005037298426032066	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.005037298426032066	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.0	0.002490012673661113	0.0	0.001660819048993289	0.002088176552206278	0.00531306816264987	0.002824173076078296	0.005037298426032066	0.00408881576731801	0.005037298426032066	0.002491598716005683	0.02778944373130798	0.05055424198508263	0.007547770161181688	0.005037298426032066	0.05698662996292114
xB0014	0.00218946416862309	0.0009177919710054994	0.00218946416862309	0.003795360215008259	0.00218946416862309	0.00218946416862309	0.0	0.00218946416862309	0.0003691490273922682	0.0004218718386255205	0.004066100344061852	0.004066100344061852	0.00218946416862309	0.00218946416862309	0.004066100344061852	0.0003092872793786228	0.003795360215008259	0.004066100344061852	0.0001816097064875066	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.004066100344061852	0.00218946416862309	0.0004317987768445164	0.004066100344061852	0.00218946416862309	0.00218946416862309	0.003795360215008259	0.00218946416862309	0.00218946416862309	0.004066100344061852	0.00218946416862309	0.004066100344061852	0.00218946416862309	0.0001028644546750002	0.0007079055067151785	0.00218946416862309	0.001912581967189908	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.004066100344061852	0.00218946416862309	0.0003431149525567889	0.002158160787075758	0.00218946416862309	0.003795360215008259	0.003795360215008259	0.0004673687799368054	0.0001955682528205216	0.0004751897067762911	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.000255817110883072	0.0005761926877312362	0.00218946416862309	0.00218946416862309	0.0002986129256896675	0.004679468460381031	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.006283835507929325	0.00218946416862309	0.00218946416862309	0.0205138623714447	0.004066100344061852	0.004066100344061852	0.005068228580057621	0.00218946416862309	0.003795360215008259	0.00218946416862309	0.00218946416862309	0.004066100344061852	0.00218946416862309	0.003795360215008259	0.00218946416862309	0.006555266678333282	0.006562985479831696	0.00218946416862309	0.003795360215008259	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.003795360215008259	0.00218946416862309	0.00218946416862309	0.004066100344061852	0.003795360215008259	0.007189280353486538	0.004066100344061852	0.003795360215008259	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.003795360215008259	0.003795360215008259	0.004066100344061852	0.00218946416862309	0.00218946416862309	0.00218946416862309	0.003795360215008259	0.003795360215008259	0.00218946416862309	0.004679472185671329	0.00218946416862309	0.0005286450614221394	0.0004761390155181289	0.006284259725362062	0.003795360215008259	0.004066100344061852	0.001899351715110242	0.004066100344061852	0.0046810582280159	0.0293699000030756	0.05213469639420509	0.006576579064130783	0.004066100344061852	0.05856708437204361
xB0015	0.0	0.001888986560516059	0.0	0.002824173076078296	0.0	0.0	0.00218946416862309	0.0	0.002286781091243029	0.002611335832625628	0.005037298426032066	0.005037298426032066	0.0	0.0	0.005037298426032066	0.00249875127337873	0.002824173076078296	0.005037298426032066	0.002310292096808553	0.0	0.0	0.0	0.005037298426032066	0.0	0.002208223333582282	0.005037298426032066	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.005037298426032066	0.0	0.002181278541684151	0.001679099164903164	0.0	0.0009413909865543246	0.0	0.0	0.0	0.005037298426032066	0.0	0.002416044007986784	0.001186971319839358	0.0	0.002824173076078296	0.002824173076078296	0.002204400952905416	0.001993895974010229	0.002664654050022364	0.0	0.0	0.0	0.002274118363857269	0.001912837149575353	0.0	0.0	0.001890851301141083	0.00249001756310463	0.0	0.0	0.0	0.005312645807862282	0.0	0.0	0.01893340796232224	0.005037298426032066	0.005037298426032066	0.004097041208297014	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.0	0.002824173076078296	0.0	0.007526461500674486	0.007534180302172899	0.0	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.0	0.0	0.005037298426032066	0.002824173076078296	0.004999821539968252	0.005037298426032066	0.002824173076078296	0.0	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.005037298426032066	0.0	0.0	0.0	0.002824173076078296	0.002824173076078296	0.0	0.002490012673661113	0.0	0.001660819048993289	0.002088176552206278	0.00531306816264987	0.002824173076078296	0.005037298426032066	0.00408881576731801	0.005037298426032066	0.002491598716005683	0.02778944373130798	0.05055424198508263	0.007547770161181688	0.005037298426032066	0.05698662996292114
xB0016	0.002286781091243029	0.001286940881982446	0.002286781091243029	0.003426211187615991	0.002286781091243029	0.002286781091243029	0.0003691490273922682	0.002286781091243029	0.0	0.0003245548869017512	0.004435247275978327	0.004435247275978327	0.002286781091243029	0.002286781091243029	0.004435247275978327	0.0006771764601580799	0.003426211187615991	0.004435247275978327	0.0001875392626971006	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.004435247275978327	0.002286781091243029	7.855788862798363e-05	0.004435247275978327	0.002286781091243029	0.002286781091243029	0.003426211187615991	0.002286781091243029	0.002286781091243029	0.004435247275978327	0.002286781091243029	0.004435247275978327	0.002286781091243029	0.000266375282080844	0.001077054534107447	0.002286781091243029	0.00154343422036618	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.004435247275978327	0.002286781091243029	0.0001292629749514163	0.001789012807421386	0.002286781091243029	0.003426211187615991	0.003426211187615991	9.822010179050267e-05	0.0003181992215104401	0.0003867270424962044	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.0001133318583015352	0.0003739438834600151	0.002286781091243029	0.002286781091243029	0.0003959299065172672	0.004776784218847752	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.005914687179028988	0.002286781091243029	0.002286781091243029	0.0203779973089695	0.004435247275978327	0.004435247275978327	0.004699079785495996	0.002286781091243029	0.003426211187615991	0.002286781091243029	0.002286781091243029	0.004435247275978327	0.002286781091243029	0.003426211187615991	0.002286781091243029	0.00692441314458847	0.006932131946086884	0.002286781091243029	0.003426211187615991	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.003426211187615991	0.002286781091243029	0.002286781091243029	0.004435247275978327	0.003426211187615991	0.007286596111953259	0.004435247275978327	0.003426211187615991	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.003426211187615991	0.003426211187615991	0.004435247275978327	0.002286781091243029	0.002286781091243029	0.002286781091243029	0.003426211187615991	0.003426211187615991	0.002286781091243029	0.004776787478476763	0.002286781091243029	0.0006259620422497392	0.0001986045681405813	0.005915111862123013	0.003426211187615991	0.004435247275978327	0.001802034908905625	0.004435247275978327	0.00477837398648262	0.0292340349406004	0.05199883133172989	0.006945725530385971	0.004435247275978327	0.05843121930956841
xB0017	0.002611335832625628	0.0009911933448165655	0.002611335832625628	0.003721958491951227	0.002611335832625628	0.002611335832625628	0.0004218718386255205	0.002611335832625628	0.0003245548869017512	0.0	0.004139498341828585	0.004139498341828585	0.002611335832625628	0.002611335832625628	0.004139498341828585	0.0003814285737462342	0.003721958491951227	0.004139498341828585	0.000301043939543888	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.004139498341828585	0.002611335832625628	0.0004031127609778196	0.004139498341828585	0.002611335832625628	0.002611335832625628	0.003721958491951227	0.002611335832625628	0.002611335832625628	0.004139498341828585	0.002611335832625628	0.004139498341828585	0.002611335832625628	0.000430148298619315	0.0009322366677224636	0.002611335832625628	0.001839183387346566	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.004139498341828585	0.002611335832625628	0.0002697143354453146	0.00208476185798645	0.002611335832625628	0.003721958491951227	0.003721958491951227	0.0004069350252393633	0.0006174402078613639	9.09779773792252e-05	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.0003372177307028323	0.0006984986830502748	0.002611335832625628	0.002611335832625628	0.0007204847643151879	0.005101337563246489	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.006210435647517443	0.002611335832625628	0.002611335832625628	0.02068815194070339	0.004139498341828585	0.004139498341828585	0.004994826857000589	0.002611335832625628	0.003721958491951227	0.002611335832625628	0.002611335832625628	0.004139498341828585	0.002611335832625628	0.003721958491951227	0.002611335832625628	0.00662866560742259	0.006636384408921003	0.002611335832625628	0.003721958491951227	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.003721958491951227	0.002611335832625628	0.002611335832625628	0.004139498341828585	0.003721958491951227	0.007611150853335857	0.004139498341828585	0.003721958491951227	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.003721958491951227	0.003721958491951227	0.004139498341828585	0.002611335832625628	0.002611335832625628	0.002611335832625628	0.003721958491951227	0.003721958491951227	0.002611335832625628	0.005101342685520649	0.002611335832625628	0.0009505169582553208	0.0005231595132499933	0.006210860796272755	0.003721958491951227	0.004139498341828585	0.001477479818277061	0.004139498341828585	0.005102928727865219	0.02954418957233429	0.05230898037552834	0.006649978458881378	0.004139498341828585	0.05874136835336685
