	xB0017	xB0031	xB0049	xB0051	xB0053	xB0054	xB0063	xB0064	xB0065	xB0067	xB0068	xB0069	xB0072	xB0073	xB0074	xB0075	xB0087	xB0106	xB0143	xB0146	xB0151	xB0153	xB0155	xB0164	xB0167	xB0169	x102	x106	x107	x125	x132	x133	x15	x180	x185	x22	x23	x36	x38	x42	x45	x47	x49	x54	x57	x68	x7	x74	x75	x78	x93	xAO190715_001	xDRA190709_003	xDRA190709_004	xDRA190709_006	xDRA190709_007	xDRA190709_008	xDRA190709_009	xDRA190709_010	xDRA190709_011	xDRA190715_001	xDRA190824_004	xFJ190709_011	xFJ190710_003	xFJ190710_004	xFJ190715_002	xFJ190724_003	xFJ190809_007	xFJ190809_013	xFJ190809_014	xFJ190814_001	xFJ190814_002	xFJ190814_006	xFJ190814_007	xFJ190814_009	xFJ190815_002	xFJ190822_001	xFJ190822_002	xFJ190822_003	xFJ190822_004	xFJ190822_006	xFJ190822_008	xFJ190827_001	xFJ190827_004	xFJ190827_022	xFJ190827_006	xFJ190827_010	xFJ190827_013	xFJ190828_001	xFJ190828_002	xFJ190828_003	xFJ190828_004	xFJ190905_002	xFJ190905_003	xJL190710_001	xJL190710_002	xJL190724_001	xJL190724_004	xJL190731_003	xJL190731_004	xJL190731_005	xJL190806_001	xJL190806_002	xJL190806_004	xJL190806_005	xJL190806_006	xJL190806_007	xJL190806_008	xJL190905_001	xJL190910_001	xPF190724_001	xPF190724_003	xPF190724_004	xPF190724_005	xPF190724_008
xB0017	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0031	0.01037347968667746	0.0	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.006174690090119839	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.006275314837694168	0.01037347968667746	0.01295301783829927	0.002473675878718495	0.005394209641963243	0.01037347968667746	0.002581404754891992	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.005783362314105034	0.01037347968667746	0.002581404754891992	0.002581404754891992	0.01037347968667746	0.00759486947208643	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.008319810964167118	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.005343914031982422	0.0	0.01037347968667746	0.01037347968667746	0.002001899527385831	0.01037347968667746	0.01037347968667746	0.004226231947541237	0.01037347968667746	0.0	0.001857260591350496	0.002848675940185785	0.01037347968667746	0.01037347968667746	0.001582395168952644	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.0	0.01037347968667746	0.01037347968667746	0.001528723281808197	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.003162646433338523	0.0	0.002338530262932181	0.008477636612951756	0.008161650039255619	0.01037347968667746	0.006429843138903379	0.008041457273066044	0.006454609800130129	0.005607286002486944	0.007009108085185289	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746	0.01037347968667746
xB0049	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0051	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0053	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0054	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0063	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0064	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0065	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
xB0067	0.0	0.01037347968667746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419878913089633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098164848983288	0.0	0.002579550025984645	0.007899804040789604	0.0049792705103755	0.0	0.007792084943503141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004590117372572422	0.0	0.007792084943503141	0.007792084943503141	0.0	0.002778610680252314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002053668256849051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005029565654695034	0.01037347968667746	0.0	0.0	0.008371579460799694	0.0	0.0	0.006147247273474932	0.0	0.01037347968667746	0.008516219444572926	0.007524803746491671	0.0	0.0	0.008791085332632065	0.0	0.0	0.0	0.01037347968667746	0.0	0.0	0.00884475652128458	0.0	0.0	0.0	0.0	0.0	0.0	0.007210833020508289	0.01037347968667746	0.008034950122237206	0.001895842840895057	0.002211829647421837	0.0	0.003943637013435364	0.002332022646442056	0.003918869886547327	0.004766193684190512	0.003364371601492167	0.0	0.0	0.0	0.0	0.0	0.0
