species	caste	Apibacter	Apibacter%	Bifidobacterium	Bifidobacterium%	Bombiscardovia	Bombiscardovia%	Gilliamella	Gilliamella%	Lactobacillus	Lactobacillus%	Schmidhempelia	Schmidhempelia%	Snodgrassella	Snodgrassella%
bim	M	8	32.0	10	40.0	15	60.0	25	100.0	3	12.0	22	88.0	25	100.0
bim	Q	2	25.0	3	38.0	6	75.0	7	88.0	4	50.0	6	75.0	8	100.0
bim	W	42	33.0	35	27.0	93	73.0	123	96.0	35	27.0	119	93.0	127	99.0
bim	Z	52	32.0	48	30.0	114	71.0	155	96.0	42	26.0	147	91.0	160	99.0
bor	M	11	42.0	21	81.0	1	4.0	26	100.0	23	88.0	22	85.0	25	96.0
bor	Q	5	62.0	8	100.0	4	50.0	8	100.0	8	100.0	6	75.0	8	100.0
bor	W	21	52.0	28	70.0	16	40.0	40	100.0	34	85.0	27	68.0	40	100.0
bor	Z	37	50.0	57	77.0	21	28.0	74	100.0	65	88.0	55	74.0	73	99.0
gris	Q	1	100.0	1	100.0	1	100.0	1	100.0	1	100.0	1	100.0	1	100.0
gris	Z	1	100.0	1	100.0	1	100.0	1	100.0	1	100.0	1	100.0	1	100.0
imp	M	5	100.0	3	60.0	4	80.0	5	100.0	2	40.0	5	100.0	5	100.0
imp	Q	2	14.0	2	14.0	6	43.0	13	93.0	7	50.0	13	93.0	13	93.0
imp	W	61	74.0	55	67.0	60	73.0	81	99.0	59	72.0	81	99.0	81	99.0
imp	Z	68	67.0	60	59.0	70	69.0	99	98.0	68	67.0	99	98.0	99	98.0
per	M	2	50.0	4	100.0	1	25.0	4	100.0	3	75.0	4	100.0	4	100.0
per	W	0	0.0	1	25.0	2	50.0	4	100.0	2	50.0	4	100.0	4	100.0
per	Z	2	25.0	5	62.0	3	38.0	8	100.0	5	62.0	8	100.0	8	100.0
ruf	M	1	50.0	2	100.0	0	0.0	2	100.0	2	100.0	1	50.0	2	100.0
ruf	W	5	42.0	6	50.0	9	75.0	12	100.0	6	50.0	12	100.0	12	100.0
ruf	Z	6	43.0	8	57.0	9	64.0	14	100.0	8	57.0	13	93.0	14	100.0
san	Q	0	0.0	0	0.0	0	0.0	1	100.0	1	100.0	1	100.0	1	100.0
san	W	2	33.0	2	33.0	4	67.0	6	100.0	1	17.0	5	83.0	6	100.0
san	Z	2	29.0	2	29.0	4	57.0	7	100.0	2	29.0	6	86.0	7	100.0
tern	M	1	33.0	1	33.0	1	33.0	3	100.0	0	0.0	3	100.0	3	100.0
tern	Q	4	44.0	3	33.0	6	67.0	9	100.0	6	67.0	9	100.0	9	100.0
tern	W	58	46.0	27	21.0	73	58.0	120	95.0	26	21.0	121	96.0	124	98.0
tern	Z	63	46.0	31	22.0	80	58.0	132	96.0	32	23.0	133	96.0	136	99.0
terri	M	0	0.0	3	75.0	0	0.0	4	100.0	3	75.0	4	100.0	4	100.0
terri	Q	1	100.0	1	100.0	0	0.0	1	100.0	1	100.0	1	100.0	1	100.0
terri	W	8	33.0	15	62.0	3	12.0	24	100.0	12	50.0	22	92.0	24	100.0
terri	Z	9	31.0	19	66.0	3	10.0	29	100.0	16	55.0	27	93.0	29	100.0
vag	M	0	0.0	6	32.0	9	47.0	19	100.0	3	16.0	18	95.0	19	100.0
vag	Q	1	33.0	1	33.0	0	0.0	3	100.0	1	33.0	3	100.0	3	100.0
vag	W	16	19.0	16	19.0	41	49.0	76	92.0	19	23.0	74	89.0	78	94.0
vag	Z	17	16.0	23	22.0	50	48.0	98	93.0	23	22.0	95	90.0	100	95.0
