	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	Positive Value	Positive Std.Error	Positive Zscore	Positive Pvalue	Positive bh
f__Neisseriaceae-g__Snodgrassella	0.2714955066157014	0.9827586206896551	0.7649	0.02398712	0.076758784	0.4686	0.0837784	0.14893937777777777	1.3014	2.223952e-11	4.461474e-11	5.986	-3.0421275	0.746474	-4.0753	4.595e-05	0.0040919	0.0051758	0.7906	0.4292	0.45781333333333335	0.0932934	0.2295127	0.4065	0.6844	0.7916137931034484
f__Orbaceae-g__Gilliamella	0.19679530677887438	0.9670846394984326	1.805253	2.560273e-18	4.0964368e-17	0.001067	1.0	1.0	0.998237	1.632236e-07	2.901752888888889e-07	6.456958	-3.6167097	0.9381552	-3.8551	0.0001157	0.0147169	0.0052576	2.7992	0.0051233	0.008628715789473685	-0.6155158	0.2352472	-2.6165	0.0088846	0.09476906666666667
f__Orbaceae-g__Schmidhempelia	0.19311610910862723	0.9153605015673981	3.0912526	1.130593e-50	3.6178976e-49	0.0005107	1.0	1.0	0.9247541	1.025865e-06	1.7277726315789476e-06	6.7541791	-5.7416554	1.1669546	-4.9202	8.645e-07	-0.0071144	0.0053379	-1.3328	0.1826	0.22473846153846155	-0.0752742	0.2395817	-0.3142	0.7534	0.8036266666666666
f__Pseudomonadaceae-g__Entomomonas	0.06523820244699997	0.3448275862068966	0.0930324	0.1306558	0.29864182857142857	0.0001634	1.0	1.0	4.4183384	7.868176e-33	3.596880457142857e-32	6.3908717	-12.8969407	0.5341626	-24.1442	0	0.0316596	0.0056805	5.5734	2.498e-08	6.148923076923076e-08	1.6921921	0.2453488	6.8971	5.308e-12	1.69856e-10
other	0.059931066434499566	0.9137931034482759	2.589	0.07650103	0.2225484509090909	1.476	0.1933619	0.30937904	23.919	2.417816e-12	6.447509333333334e-12	75.473	-13.752565	1.942136	-7.0812	1.43e-12	0.083605	0.018825	4.4412	8.944e-06	1.7888e-05	-0.299453	0.827291	-0.362	0.7174	0.7916137931034484
f__Brucellaceae-g__Brucella	0.04030600814685326	0.3495297805642633	0.01896	0.448542	0.7616938105263158	0.22907	0.01156227	0.024666175999999998	6.05486	3.086466e-38	2.4691728e-37	6.03474	-5.223664	0.5403666	-9.6669	0	-0.049899	0.0056393	-8.8484	0	0.0	-0.3041638	0.2421114	-1.2563	0.209	0.47613866666666665
f__Weeksellaceae-g__Apibacter	0.02723714619725416	0.40282131661442006	4.279e-05	1.0	1.0	2.614	1.397943e-19	2.2367088e-18	1.213	0.0007441072	0.0008504082285714286	10.86	-9.7632069	0.7628205	-12.7988	0	0.0147413	0.0066722	2.2094	0.02715	0.04137142857142857	-0.823849	0.3013398	-2.734	0.006258	0.09476906666666667
f__Moraxellaceae-g__Acinetobacter	0.017054603626372768	0.6520376175548589	0.0005642	1.0	1.0	0.226565	0.004322072	0.009879021714285714	1.5699727	2.017938e-11	4.461474e-11	6.6743152	-10.8502094	0.4724688	-22.9649	0	0.028803	0.0054674	5.2682	1.378e-07	3.1497142857142856e-07	0.3828894	0.2421621	1.5811	0.1138	0.36416
f__Erwiniaceae-g__Rosenbergiella	0.015369630405138765	0.30094043887147337	0.1195	0.2392647	0.51043136	0.1409	0.09853609	0.16595552000000002	1.1803	6.575573e-27	2.6302292e-26	5.2594	-12.9547027	0.4799778	-26.9902	0	0.0358423	0.0048444	7.3986	1.376e-13	8.8064e-13	-0.08277	0.2147922	-0.3853	0.7	0.7916137931034484
f__Lactobacillaceae-g__Fructobacillus	0.014957727636016395	0.5391849529780565	1.607e-05	1.0	1.0	0.5108	6.449924e-07	3.439959466666667e-06	0.7635	1.667271e-05	2.4251214545454548e-05	7.588	-13.3678734	0.5057507	-26.4317	0	0.0577031	0.0055256	10.4429	0	0.0	0.2045742	0.2504495	0.8168	0.414	0.6021818181818182
f__Acetobacteraceae-g__Saccharibacter	0.013212944887796008	0.2335423197492163	1.032e-07	1.0	1.0	0.05023	0.07808362	0.1469809317647059	0.8167	1.245287e-09	2.3440696470588237e-09	4.393	-11.9660015	0.3566724	-33.549	0	0.0275951	0.0043486	6.3457	2.214e-10	7.872e-10	0.3452039	0.1938111	1.7811	0.07489	0.26627555555555554
f__Xanthomonadaceae-g__Stenotrophomonas	0.01074379065512333	0.2836990595611285	0.0005993	1.0	1.0	0.1797998	0.002389651	0.005882217846153846	5.2612479	4.451683e-37	2.84907712e-36	5.0195967	-7.268554	0.485245	-14.9791	0	-0.034161	0.00515	-6.6333	3.283e-11	1.3132e-10	-0.271921	0.220958	-1.2306	0.2185	0.47613866666666665
