	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	log_CBombi Value	log_CBombi Std.Error	log_CBombi Zscore	log_CBombi Pvalue	log_CBombi bh
f__Neisseriaceae-g__Snodgrassella	0.2714955066157014	0.9827586206896551	0.539	0.120063	0.3364610666666667	0.7087	0.02084206	0.04446306133333333	1.2328	4.732267e-09	9.464534e-09	6.3952	-2.9286615	0.7885522	-3.714	0.000204	0.003295	0.0062919	0.5237	0.600487	0.6405194666666667	-0.0181761	0.0328661	-0.553	0.58024	0.7731692307692307
f__Orbaceae-g__Gilliamella	0.19679530677887438	0.9670846394984326	1.7299	6.870824e-05	0.0005683696	0.2795	0.3130991	0.45541687272727277	1.0595	7.283291e-07	1.294807288888889e-06	6.6778	-3.8970413	1.0225686	-3.811	0.0001384	0.0153539	0.0063284	2.4262	0.015258	0.023250285714285716	-0.1067644	0.0333792	-3.1985	0.0013813	0.014733866666666666
f__Orbaceae-g__Schmidhempelia	0.19311610910862723	0.9153605015673981	2.9711919	2.99939e-37	9.598048e-36	0.0006829	1.0	1.0	0.493742	0.001923235	0.0024617408	7.3267391	-6.3355123	1.2163624	-5.2086	1.903e-07	-0.0010484	0.006191	-0.1693	0.8655	0.8655	-0.0377129	0.0339422	-1.1111	0.2665	0.5277866666666666
f__Pseudomonadaceae-g__Entomomonas	0.06523820244699997	0.3448275862068966	3.607e-06	1.0	1.0	5.812e-05	1.0	1.0	4.553	7.507136e-29	6.0057088e-28	7.076	-13.7906626	0.6066589	-22.7322	0	0.0370139	0.0071938	5.1452	2.672e-07	7.125333333333334e-07	0.3165881	0.0349848	9.0493	0	0.0
other	0.059931066434499566	0.9137931034482759	0.4521	0.3683788	0.7367576	1.7054	0.06190687	0.11005665777777779	15.5933	2.784225e-09	5.93968e-09	68.529	-13.8078216	1.8511407	-7.4591	8.712e-14	0.0774231	0.0208493	3.7135	0.0002044	0.0003847529411764706	-0.0064501	0.1074358	-0.06	0.9521261	0.9521261
f__Brucellaceae-g__Brucella	0.04030600814685326	0.3495297805642633	5.849e-06	1.0	1.0	0.1445	0.09225574	0.15537808842105263	6.023	1.551176e-28	8.272938666666667e-28	5.923	-5.0795617	0.6128243	-8.2888	0	-0.0499988	0.0068501	-7.299	2.899e-13	3.092266666666667e-12	0.0089894	0.0332099	0.2707	0.7866	0.83904
f__Weeksellaceae-g__Apibacter	0.02723714619725416	0.40282131661442006	5.692e-05	1.0	1.0	2.533	1.778621e-19	5.6915872e-18	0.706	0.01978398	0.021830598620689656	9.91	-10.3262952	0.8118393	-12.7196	0	0.0188244	0.0072224	2.6064	0.009151	0.0146416	-0.1265389	0.0394883	-3.2045	0.001353	0.014733866666666666
f__Moraxellaceae-g__Acinetobacter	0.017054603626372768	0.6520376175548589	0.207838	0.02825923	0.11303692	0.001668	1.0	1.0	1.627368	8.725958e-09	1.642533270588235e-08	6.682856	-10.6046467	0.6285269	-16.8722	0	0.0209947	0.0065156	3.2222	0.001272	0.002261333333333333	0.0796593	0.033513	2.377	0.017456	0.1117184
f__Erwiniaceae-g__Rosenbergiella	0.015369630405138765	0.30094043887147337	0.1920369	0.02421983	0.11071922285714286	0.0001853	1.0	1.0	1.3923345	4.656528e-27	2.1286985142857144e-26	5.3214564	-13.6818881	0.5745631	-23.8127	0	0.0436825	0.0058553	7.4603	8.63e-14	1.3808e-12	0.0145415	0.0300284	0.4843	0.6282	0.7731692307692307
f__Lactobacillaceae-g__Fructobacillus	0.014957727636016395	0.5391849529780565	4.41e-05	1.0	1.0	0.5452794	2.575578e-06	1.3736416000000002e-05	0.467194	0.00261032	0.0029965577142857143	7.321488	-13.1349196	0.5690587	-23.0818	0	0.0557559	0.0061301	9.0955	0	0.0	0.0462948	0.0336137	1.3773	0.1684	0.4145230769230769
